departamento,provincia,municipio,codigo_municipio,codigo,nombre,urbano-rural,camas,latitude,longitude,subsector,tipo,nivel,telefono
Chuquisaca,Oropeza,Sucre,10101,100032,C.S. Med.Barrio El Tejar,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100033,Hosp.Jaime Mendoza,urbano,0,-19.045811999999998,-65.267602,seguridad social (cajas),hospital general,3,0
Chuquisaca,Oropeza,Sucre,10101,100034,Mercado Campesino,urbano,0,-19.033085,-65.25316600000001,publico,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100035,Cs. Cotes Ltda,urbano,2,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100036,C.S.Carcel Publica,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100037,C.S. Kausaj Pujyu,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100038,Inst. Cupertino Arteaga,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100039,Imilla Huanusca,rural,0,-18.638345,-65.179389,publico,puesto de salud,1,46933555
Chuquisaca,Oropeza,Sucre,10101,100040,Hosp. Cristo De Las Americas,urbano,7,-19.045132000000002,-65.268728,iglesia,hospital segundo nivel,2,0
Chuquisaca,Oropeza,Sucre,10101,100041,C.S.Banco Vacunas,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100042,Mercado Central,urbano,0,-19.045665,-65.257859,publico,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100043,Mercado Minorista,urbano,0,-19.040726,-65.254712,publico,centro salud,1,6462390
Chuquisaca,Oropeza,Sucre,10101,100044,Khochis,rural,1,-19.134345,-65.206389,publico,puesto de salud,1,71166136
Chuquisaca,Oropeza,Sucre,10101,100045,La Palma,rural,6,-18.954345,-65.128389,publico,centro salud,1,76119983
Chuquisaca,Oropeza,Sucre,10101,100046,C.S. Senac,urbano,0,-19.049139999999998,-65.26602700000001,seguridad social (cajas),centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100047,San Pedro Claver,urbano,84,-19.007645999999998,-65.30709300000001,publico,hospital segundo nivel,2,6451667
Chuquisaca,Oropeza,Sucre,10101,100048,Maragua (Chq),rural,0,-19.052345000000003,-65.433389,publico,puesto de salud,1,46938088
Chuquisaca,Oropeza,Sucre,10101,100049,C.S. Cimes,urbano,0,-19.035685,-65.25254,organismos no gubernamentales,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100050,C.S.Cruz Roja,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100051,C.S. Pro Mujer(Sucre),urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100052,Inst..Psiquiatrico Nacional,urbano,454,-19.041137,-65.26675300000001,publico,instituto especializado,3,0
Chuquisaca,Oropeza,Sucre,10101,100053,Hospital Materno Infantil De Poconas,urbano,15,-19.047123000000003,-65.248942,publico,hospital segundo nivel,2,6438943
Chuquisaca,Oropeza,Sucre,10101,100054,C.S. Cons. San Juanillo,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100055,Central,urbano,0,-19.048457,-65.26227800000001,publico,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100056,Cristo Rey De Potolo,rural,6,-19.018345,-65.533389,publico,centro salud,1,72868795
Chuquisaca,Oropeza,Sucre,10101,100057,C.S. Cimes Potolo,rural,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100058,Punilla,rural,0,-18.958345,-65.37438900000001,publico,centro salud,1,72871092
Chuquisaca,Oropeza,Sucre,10101,100059,Quila Quila,rural,0,-19.090345000000003,-65.394389,publico,puesto de salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100060,C.S. Pro Mujer San Jose,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100061,Sonkho Chipa,rural,1,-18.985345000000002,-65.208389,publico,puesto de salud,1,73429024
Chuquisaca,Oropeza,Sucre,10101,100062,C.S. Santa Barbara,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100063,Morro Municipal,urbano,0,-19.025609,-65.239209,publico,centro salud,1,6480179
Chuquisaca,Oropeza,Sucre,10101,100064,Alto San Juanillo,urbano,0,-19.033532,-65.245264,publico,centro salud,1,6464883
Chuquisaca,Oropeza,Sucre,10101,100065,Valle Hermoso,urbano,5,-19.033357000000002,-65.264674,publico,centro salud,1,6421105
Chuquisaca,Oropeza,Sucre,10101,100066,C.S.Fe Y Alegria,urbano,0,-19.036811,-65.268651,iglesia,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100067,C.S.San Ricardo Pampuri,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100068,C.S. Seguro Universitario,urbano,0,-19.046076,-65.260646,seguridad social (cajas),centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100069,Caja Cordes - Chuquisaca,urbano,17,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100070,C.S Virgen Del Remedio,urbano,0,-19.056475,-65.277082,iglesia,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100071,C.S.S.O.Ejercito,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100072,C.S.Coinca,urbano,0,-19.045813,-65.261579,organismos no gubernamentales,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100073,Patacon,urbano,0,-19.028329,-65.265982,publico,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100074,Surima,rural,2,-18.775345,-65.132389,publico,centro salud,1,74687067
Chuquisaca,Oropeza,Sucre,10101,100075,Banco De Sangre,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100076,C.S. Med.Barrio Valle Hermoso,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100077,Villa Armonia (Chq),urbano,9,-19.023681,-65.248699,publico,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100078,Villa Margarita,urbano,0,-19.018357,-65.252199,publico,centro salud,1,6438877
Chuquisaca,Oropeza,Yotala,10102,100079,Anfaya,rural,0,-19.254345,-65.219389,publico,puesto de salud,1,0
Chuquisaca,Oropeza,Yotala,10102,100080,Cachimayu,rural,0,-19.152345,-65.290389,publico,puesto de salud,1,74455212
Chuquisaca,Oropeza,Yotala,10102,100081,Calera,rural,0,-19.232345000000002,-65.322389,publico,puesto de salud,1,0
Chuquisaca,Oropeza,Yotala,10102,100082,Huayllas,rural,0,-19.165345000000002,-65.327389,publico,puesto de salud,1,74403006
Chuquisaca,Oropeza,Yotala,10102,100083,Nucchu,rural,0,-19.198345,-65.289389,publico,puesto de salud,1,0
Chuquisaca,Oropeza,Yotala,10102,100084,Tambo Ackachila,rural,0,-19.304345,-65.176389,publico,puesto de salud,1,68630064
Chuquisaca,Oropeza,Yotala,10102,100085,Tipaka,rural,0,-19.261345000000002,-65.313389,publico,puesto de salud,1,0
Chuquisaca,Oropeza,Yotala,10102,100086,Tuero,rural,0,-19.340345000000003,-65.202389,publico,puesto de salud,1,0
Chuquisaca,Oropeza,Yotala,10102,100087,Unala,rural,0,-19.236345,-65.26138900000001,publico,puesto de salud,1,75766838
Chuquisaca,Oropeza,Yotala,10102,100088,Nicolas Ortiz,rural,5,-19.161345,-65.265389,publico,c.s. con internacion,1,6430023
Chuquisaca,Oropeza,Poroma,10103,100089,Chijmuri,rural,1,-18.802345000000003,-65.403389,publico,centro salud,1,46938258
Chuquisaca,Oropeza,Poroma,10103,100090,Copavilque,rural,0,-18.626345,-65.286389,publico,centro salud,1,46938203
Chuquisaca,Oropeza,Poroma,10103,100091,Cucuri,rural,0,-18.852345,-65.312389,publico,puesto de salud,1,73440303
Chuquisaca,Oropeza,Poroma,10103,100092,El Ajial,rural,1,-18.521345,-65.282389,publico,puesto de salud,1,73133818
Chuquisaca,Oropeza,Poroma,10103,100093,Tholapampa,rural,1,-18.455345,-65.586389,publico,centro salud,1,73419069
Chuquisaca,Oropeza,Poroma,10103,100094,Kainacas,rural,0,-18.866345000000003,-65.399389,publico,puesto de salud,1,73434771
Chuquisaca,Oropeza,Poroma,10103,100095,Luje,rural,1,-18.737345,-65.26138900000001,publico,centro salud,1,68642254
Chuquisaca,Oropeza,Poroma,10103,100096,Pojpo,rural,0,-18.793345000000002,-65.327389,publico,centro salud,1,74447417
Chuquisaca,Oropeza,Poroma,10103,100097,Virgen Del Rosario,rural,8,-18.539345,-65.430389,publico,centro salud,1,68660621
Chuquisaca,Oropeza,Poroma,10103,100098,San Juan De Orcas,rural,0,-18.739345,-65.303389,publico,centro salud,1,75761589
Chuquisaca,Oropeza,Poroma,10103,100099,Challcha,rural,0,-18.433345000000003,-65.534389,publico,centro salud,1,74695807
Chuquisaca,Oropeza,Poroma,10103,100100,La Palca (Chq-Poroma),rural,0,-18.769345,-65.336389,publico,puesto de salud,1,0
Chuquisaca,Azurduy,Villa Azurduy,10201,100101,Dr. Gustavo Haase Perez,rural,15,-20.106345,-64.415389,publico,centro salud,1,68660878
Chuquisaca,Azurduy,Villa Azurduy,10201,100102,Duraznal,rural,3,-20.415345000000002,-64.421389,publico,centro salud,1,72886490
Chuquisaca,Azurduy,Villa Azurduy,10201,100103,Pinos,rural,2,-20.336345,-64.473389,publico,puesto de salud,1,68660168
Chuquisaca,Azurduy,Villa Azurduy,10201,100104,Rodeo Chico,rural,0,-20.246345,-64.545389,publico,centro salud,1,72869875
Chuquisaca,Azurduy,Villa Azurduy,10201,100105,San Roque,rural,3,-20.135345,-64.51438900000001,publico,puesto de salud,1,74409649
Chuquisaca,Azurduy,Villa Azurduy,10201,100106,Santa Rosa (Chq),rural,3,-19.879345,-64.405389,publico,centro salud,1,67607171
Chuquisaca,Azurduy,Villa Azurduy,10201,100107,Tablani,rural,3,-20.052345000000003,-64.561389,publico,centro salud,1,46938248
Chuquisaca,Azurduy,Tarvita,10202,100108,Abra Kasa,rural,3,-19.971345,-64.558389,publico,centro salud,1,71161812
Chuquisaca,Azurduy,Tarvita,10202,100109,Chunca Cancha,rural,3,-19.669228,-64.676285,publico,centro salud,1,71161084
Chuquisaca,Azurduy,Tarvita,10202,100110,La Sillada,rural,3,-19.812345,-64.626389,publico,puesto de salud,1,71161524
Chuquisaca,Azurduy,Tarvita,10202,100111,Molleni,rural,0,-19.774345,-64.470389,publico,centro salud,1,71161775
Chuquisaca,Azurduy,Tarvita,10202,100112,Pampa Huasi,rural,3,-19.626901,-64.661068,publico,centro salud,1,71161190
Chuquisaca,Azurduy,Tarvita,10202,100113,San Miguel,rural,2,-19.919454,-64.594267,publico,centro salud,1,71161850
Chuquisaca,Azurduy,Tarvita,10202,100114,San Pedro (Chq),rural,0,-19.617345,-64.451996,publico,centro salud,1,71161844
Chuquisaca,Azurduy,Tarvita,10202,100115,Virgen Del Rosario,rural,27,-19.922345,-64.485389,publico,centro salud,1,71161670
Chuquisaca,Azurduy,Tarvita,10202,100116,P.S. Mollecancha,rural,0,0.0,0.0,,,,0
Chuquisaca,Zudañez,Villa Zudañez,10301,100117,Waca Huasi,rural,0,-18.960345,-64.73438900000001,publico,puesto de salud,1,71160691
Chuquisaca,Zudañez,Villa Zudañez,10301,100118,San Jorge,rural,8,-19.119345000000003,-64.700389,publico,centro salud,1,68660822
Chuquisaca,Zudañez,Villa Zudañez,10301,100119,Mandinga,rural,0,-19.277345,-64.689389,publico,puesto de salud,1,71160684
Chuquisaca,Zudañez,Villa Zudañez,10301,100120,Sayanchaca,rural,0,-19.251345,-64.63938900000001,publico,centro salud,1,71160687
Chuquisaca,Zudañez,Villa Zudañez,10301,100121,Mayutorcoco,rural,0,-19.039345,-64.678389,publico,puesto de salud,1,68637732
Chuquisaca,Zudañez,Villa Zudañez,10301,100122,Paraqty,rural,0,-19.045345,-64.739389,publico,puesto de salud,1,71160685
Chuquisaca,Zudañez,Presto,10302,100123,Puno Kasa,rural,0,-18.875345000000003,-64.946389,publico,puesto de salud,1,68615480
Chuquisaca,Zudañez,Presto,10302,100124,Rodeo El Palmar,rural,0,-18.601345000000002,-64.954389,publico,centro salud,1,67614421
Chuquisaca,Zudañez,Presto,10302,100125,Santiago De Presto,rural,2,-18.928274,-64.939217,publico,centro salud,1,68660641
Chuquisaca,Zudañez,Presto,10302,100126,Pasopaya (Presto),rural,0,-18.770345000000002,-64.943389,publico,centro salud,1,73477217
Chuquisaca,Zudañez,Villa Mojocoya,10303,100127,La Abra,rural,0,-18.874345,-64.512389,publico,puesto de salud,1,0
Chuquisaca,Zudañez,Villa Mojocoya,10303,100128,San Juan De Dios (Chq),rural,9,-18.829345,-64.619389,publico,centro salud,1,71163235
Chuquisaca,Zudañez,Villa Mojocoya,10303,100129,Yacambe,rural,3,-18.938345,-64.569389,publico,centro salud,1,71163237
Chuquisaca,Zudañez,Villa Mojocoya,10303,100130,Churicana,rural,2,-18.916345,-64.622389,publico,centro salud,1,71163237
Chuquisaca,Zudañez,Villa Mojocoya,10303,100131,Sachapampa,rural,0,-18.702345,-64.513389,publico,puesto de salud,1,0
Chuquisaca,Zudañez,Villa Mojocoya,10303,100132,Quivale,rural,0,-18.627345000000002,-64.738389,publico,centro salud,1,71163234
Chuquisaca,Zudañez,Villa Mojocoya,10303,100133,Mojocoya,rural,4,-18.764345000000002,-64.620389,publico,centro salud,1,71163239
Chuquisaca,Zudañez,Icla,10304,100134,Cantar Gallo,rural,1,-19.516345,-64.684389,publico,centro salud,1,67601136
Chuquisaca,Zudañez,Icla,10304,100135,Candelaria,rural,2,-19.302345000000003,-64.795389,publico,centro salud,1,67601139
Chuquisaca,Zudañez,Icla,10304,100136,Virgen Del Rosario,rural,8,-19.363345000000002,-64.794389,publico,centro salud,1,67601311
Chuquisaca,Zudañez,Icla,10304,100137,P.S. Guitarrani,rural,0,0.0,0.0,,,,0
Chuquisaca,Zudañez,Icla,10304,100138,Tacopampa,rural,2,-19.420345,-64.693389,publico,centro salud,1,67601138
Chuquisaca,Zudañez,Icla,10304,100139,Uyuni (Chq),rural,2,-19.452345,-64.825389,publico,centro salud,1,67601135
Chuquisaca,Tomina,Padilla,10401,100140,Corey,rural,0,-19.402345,-63.990389,publico,puesto de salud,1,0
Chuquisaca,Tomina,Padilla,10401,100141,El Rosal,rural,0,-19.475345,-64.173389,publico,puesto de salud,1,73476972
Chuquisaca,Tomina,Padilla,10401,100142,Lampacillos,rural,0,-19.378345,-64.220389,publico,puesto de salud,1,74402853
Chuquisaca,Tomina,Padilla,10401,100143,Hosp. Padilla,urbano,29,-19.306345,-64.304389,publico,hospital segundo nivel,2,46932381
Chuquisaca,Tomina,Padilla,10401,100144,C.S. C.N.S. Padilla,rural,0,0.0,0.0,,,,0
Chuquisaca,Tomina,Padilla,10401,100145,Tabacal,rural,0,-19.325345000000002,-64.142389,publico,centro salud,1,71164561
Chuquisaca,Tomina,Padilla,10401,100146,Tihumayu,rural,0,-19.567345,-64.100389,publico,centro salud,1,71164562
Chuquisaca,Tomina,Tomina,10402,100147,Corso,rural,1,-19.146345,-64.495389,publico,puesto de salud,1,71160170
Chuquisaca,Tomina,Tomina,10402,100148,Rodeo Porvenir,rural,3,-19.063345,-64.580389,publico,puesto de salud,1,71160171
Chuquisaca,Tomina,Tomina,10402,100149,Fuerte Rua,rural,1,-19.254345,-64.528389,publico,centro salud,1,71160164
Chuquisaca,Tomina,Tomina,10402,100150,Otorongo,rural,0,-19.151345000000003,-64.546389,publico,puesto de salud,1,71160172
Chuquisaca,Tomina,Tomina,10402,100151,Pucara (Chq),rural,1,-19.034345000000002,-64.504389,publico,puesto de salud,1,71160173
Chuquisaca,Tomina,Tomina,10402,100152,Tarabuquillo,rural,1,-19.349345,-64.478389,publico,centro salud,1,71160165
Chuquisaca,Tomina,Tomina,10402,100153,Tomina,rural,15,-19.185345,-64.461389,publico,centro salud,1,67601346
Chuquisaca,Tomina,Sopachuy,10403,100154,Amancaya,rural,0,-19.335345,-64.562389,publico,centro salud,1,71160124
Chuquisaca,Tomina,Sopachuy,10403,100155,Pampas Del Carmen,rural,0,-19.547345,-64.413389,publico,puesto de salud,1,67601431
Chuquisaca,Tomina,Sopachuy,10403,100156,Hospital Virgen De Remedios Sopachuy,urbano,29,-19.488345000000002,-64.477389,publico,centro salud,1,71160125
Chuquisaca,Tomina,Villa Alcalá,10404,100157,Alcala,rural,5,-19.364345,-64.390389,publico,centro salud,1,67601452
Chuquisaca,Tomina,Villa Alcalá,10404,100158,Limabamba,rural,4,-19.501345,-64.336389,publico,centro salud,1,67601451
Chuquisaca,Tomina,El Villar,10405,100159,El Dorado,rural,1,-19.796345000000002,-64.331389,publico,puesto de salud,1,67601488
Chuquisaca,Tomina,El Villar,10405,100160,El Villar,rural,6,-19.628345,-64.310389,publico,centro salud,1,68660236
Chuquisaca,Tomina,El Villar,10405,100161,Rodeito,rural,1,-19.812345,-64.207389,publico,puesto de salud,1,67601446
Chuquisaca,Tomina,El Villar,10405,100162,Segura,rural,3,-19.807345,-64.207389,publico,centro salud,1,67600524
Chuquisaca,Hernando Siles,Monteagudo,10501,100163,Leonardo Gamberti Alvino,rural,6,-19.809345,-63.979389000000005,publico,centro salud,1,67602518
Chuquisaca,Hernando Siles,Monteagudo,10501,100164,Cerrillos (Chq),rural,8,-19.997345000000003,-63.914389,publico,puesto de salud,1,0
Chuquisaca,Hernando Siles,Monteagudo,10501,100165,Chapimayu,rural,3,-19.882345,-64.147389,publico,centro salud,1,67041781
Chuquisaca,Hernando Siles,Monteagudo,10501,100166,Cruce Piraimiri,rural,3,-20.017345000000002,-63.981389,publico,centro salud,1,68660147
Chuquisaca,Hernando Siles,Monteagudo,10501,100167,Ingavi,rural,2,-20.226345000000002,-64.104389,publico,puesto de salud,1,0
Chuquisaca,Hernando Siles,Monteagudo,10501,100168,Itapenti,rural,2,-20.183345000000003,-63.849389,publico,puesto de salud,1,0
Chuquisaca,Hernando Siles,Monteagudo,10501,100169,Los Arcos,rural,2,-20.317345,-64.229389,publico,puesto de salud,1,46302003
Chuquisaca,Hernando Siles,Monteagudo,10501,100170,Hosp. Monteagudo San Antonio De Los Sauces,urbano,40,-19.799345000000002,-63.955389000000004,publico,hospital segundo nivel,2,6472224
Chuquisaca,Hernando Siles,Monteagudo,10501,100171,C.S. C.N.S. Monteagudo,rural,0,0.0,0.0,,,,0
Chuquisaca,Hernando Siles,Monteagudo,10501,100172,C.S. Cies Monteagudo,rural,0,0.0,0.0,,,,0
Chuquisaca,Hernando Siles,Monteagudo,10501,100173,Rodeo,rural,3,-20.149345,-64.224389,publico,puesto de salud,1,0
Chuquisaca,Hernando Siles,Monteagudo,10501,100174,San Juan Bautista,rural,0,-20.334345000000003,-64.123389,publico,centro salud,1,68660140
Chuquisaca,Hernando Siles,Monteagudo,10501,100175,San Miguel Del Banado,rural,4,-20.079345,-63.886389,publico,centro salud,1,0
Chuquisaca,Hernando Siles,Monteagudo,10501,100176,Valle Nuevo,rural,0,-19.920345,-63.987389,publico,puesto de salud,1,68660146
Chuquisaca,Hernando Siles,Monteagudo,10501,100177,Dermatologico,rural,27,-19.807345,-64.00538900000001,publico,centro salud,1,6472662
Chuquisaca,Hernando Siles,Monteagudo,10501,100178,Roldana,rural,1,-19.809345,-64.122389,publico,puesto de salud,1,68660142
Chuquisaca,Hernando Siles,Monteagudo,10501,100179,Despensas,rural,0,-20.085345,-64.103389,publico,puesto de salud,1,0
Chuquisaca,Hernando Siles,Monteagudo,10501,100180,Azero Norte,rural,0,-19.565345,-63.982389000000005,publico,puesto de salud,1,0
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100181,Animbo,rural,2,-20.569345000000002,-64.150389,publico,centro salud,1,67608410
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100182,Atirimbia,rural,0,-20.821345,-63.926389,publico,puesto de salud,1,74678351
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100183,Casa Alta,rural,2,-20.636345000000002,-64.012389,publico,puesto de salud,1,46933539
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100184,Duraznitos,rural,1,-20.492345,-64.196389,publico,puesto de salud,1,68635264
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100185,San Pablo De Huacareta,rural,17,-20.366345000000003,-64.004389,publico,centro salud,1,46479212
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100186,C.S. Cies Huacareta,rural,0,0.0,0.0,,,,0
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100187,Nacamiri,rural,3,-20.721345,-64.038389,publico,centro salud,1,46933539
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100188,Piraicito,rural,0,-20.162345000000002,-63.962389,publico,puesto de salud,1,0
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100189,Rosario Del Ingre,rural,4,-20.581345000000002,-63.885389,publico,centro salud,1,0
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100190,Uruguay,rural,1,-20.521345,-64.150389,publico,centro salud,1,0
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100191,Tartagalito,rural,1,-20.877345000000002,-64.067389,publico,puesto de salud,1,0
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100192,Yumao,rural,2,-20.532345,-63.956389,publico,puesto de salud,1,0
Chuquisaca,Hernando Siles,San Pablo de Huacareta,10502,100193,Ipaty Del Ingre,rural,2,-20.424345000000002,-63.829389,publico,puesto de salud,1,74432927
Chuquisaca,Yamparaez,Tarabuco,10601,100194,Cororo,rural,0,-19.071345,-64.906389,publico,centro salud,1,71163142
Chuquisaca,Yamparaez,Tarabuco,10601,100195,El Carmen (Tarabuco),rural,1,-19.070345,-64.995389,publico,puesto de salud,1,46936071
Chuquisaca,Yamparaez,Tarabuco,10601,100196,El Paredon,rural,1,-19.251345,-64.861389,publico,centro salud,1,46936071
Chuquisaca,Yamparaez,Tarabuco,10601,100197,Cienega,rural,0,-19.155345,-64.99938900000001,publico,centro salud,1,71163120
Chuquisaca,Yamparaez,Tarabuco,10601,100198,Pajcha (Chq),rural,0,-18.978345,-65.029389,publico,puesto de salud,1,46936071
Chuquisaca,Yamparaez,Tarabuco,10601,100199,Pampa Lupiara,rural,1,-19.253345,-64.820389,publico,centro salud,1,71163140
Chuquisaca,Yamparaez,Tarabuco,10601,100200,Sarufaya,rural,1,-19.111345,-64.808389,publico,centro salud,1,46936071
Chuquisaca,Yamparaez,Tarabuco,10601,100201,Surima Chica,rural,1,-19.011345000000002,-64.895389,publico,puesto de salud,1,46936071
Chuquisaca,Yamparaez,Tarabuco,10601,100202,Ricardo Bacherer,urbano,18,-19.180345000000003,-64.915389,publico,centro salud,1,46936071
Chuquisaca,Yamparaez,Yamparáez,10602,100203,Carama,rural,0,-19.354345000000002,-65.063389,publico,puesto de salud,1,71161237
Chuquisaca,Yamparaez,Yamparáez,10602,100204,Lavadero,rural,0,-19.179345,-65.055389,publico,puesto de salud,1,71161234
Chuquisaca,Yamparaez,Yamparáez,10602,100205,Escana,rural,0,-19.255345000000002,-65.073389,publico,puesto de salud,1,68648072
Chuquisaca,Yamparaez,Yamparáez,10602,100206,Jatun Ckacka,rural,0,-19.302345000000003,-65.001389,publico,puesto de salud,1,71161237
Chuquisaca,Yamparaez,Yamparáez,10602,100207,Patallajta,rural,0,-19.112345,-65.060389,publico,puesto de salud,1,67608280
