type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Zona,properties/IdTipo,properties/Tipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,plazasparques.31,Point,-68.1648874,-16.49146365,geom,Julio Manuél Aramayo,La Portada,2,Parque,9,,clara.revollo,2016-06-13T20:11:06.087Z,
Feature,plazasparques.32,Point,-68.14312362,-16.51029962,geom,El Carmen,Bello Horizonte,1,Plaza,4,,carlos.medrano,2016-06-13T20:28:36.520Z,
Feature,plazasparques.33,Point,-68.1489391,-16.50085418,geom,Obispo Indaburo,Obispo Indaburo,2,Parque,7,,clara.revollo,2016-06-13T20:12:24.177Z,
Feature,plazasparques.34,Point,-68.14098158,-16.50621499,geom,Josefa Mujia,San Pedro Alto,1,Plaza,6,,carlos.medrano,2016-06-13T20:28:47.327Z,
Feature,plazasparques.35,Point,-68.15137361,-16.47297841,geom,De la Nacionalidad,Achachicala Central,2,Parque,11,,gmatta,2016-06-02T21:56:16.670Z,
Feature,plazasparques.36,Point,-68.1408517,-16.50421923,geom,Libano,San Pedro Alto,1,Plaza,6,,carlos.medrano,2016-06-13T20:28:55.090Z,
Feature,plazasparques.37,Point,-68.13787383,-16.5090617,geom,Bello Horizonte (Km. 7),Bello Horizonte,1,Plaza,6,,carlos.medrano,2016-06-13T20:29:11.567Z,
Feature,plazasparques.38,Point,-68.11048261,-16.51099407,geom,Angela Alaiza,Villa Armonía,2,Parque,17,,clara.revollo,2016-06-13T20:15:06.770Z,
Feature,plazasparques.39,Point,-68.11791316,-16.49116237,geom,Tito Yupanqui,Villa Copacabana,2,Parque,14,,clara.revollo,2016-06-13T20:15:11.270Z,
Feature,plazasparques.40,Point,-68.12293463,-16.51482754,geom,Kantutani,San Jorge,1,Plaza,1,,carlos.medrano,2016-06-13T20:29:45.210Z,
Feature,plazasparques.41,Point,-68.13697495,-16.50062233,geom,Belzu,Belén,1,Plaza,6,,carlos.medrano,2016-06-13T20:29:54.907Z,
Feature,plazasparques.42,Point,-68.1184963,-16.49479855,geom,Los Claveles,Villa Copacabana,2,Parque,14,,,,
Feature,plazasparques.43,Point,-68.12349159,-16.51315985,geom,Ana Maria Romero de Campero,Kantutani,1,Plaza,3,,carlos.medrano,2016-06-13T20:30:03.810Z,
Feature,plazasparques.44,Point,-68.10997244,-16.51281345,geom,Domitila Chungara,Villa Armonía,2,Parque,17,,,,
Feature,plazasparques.45,Point,-68.150709,-16.49220201,geom,Huallparimachi,Villa Victoria,1,Plaza,8,,gustavo.nao,2016-06-11T20:27:05.570Z,
Feature,plazasparques.46,Point,-68.11455734,-16.49155495,geom,San Cristobal,Villa Copacabana,2,Parque,14,,,,
Feature,plazasparques.47,Point,-68.15265952,-16.50006007,geom,Puente Topater,Los Andes,1,Plaza,7,,gustavo.nao,2016-06-11T20:32:44.287Z,
Feature,plazasparques.48,Point,-68.10867485,-16.49539869,geom,C.A.R.E. San Antonio,San Antonio Alto,2,Parque,15,,,,
Feature,plazasparques.49,Point,-68.15320741,-16.50136067,geom,Fortunato Pinto,Chamoco Chico,1,Plaza,7,,gustavo.nao,2016-06-11T20:28:44.120Z,
Feature,plazasparques.50,Point,-68.11438014,-16.50579075,geom,Ecologico Zenobio Lopez,Villa Armonía,2,Parque,17,,,,
Feature,plazasparques.51,Point,-68.15067476,-16.49512348,geom,Baltazar Alquiza,Callampaya,1,Plaza,8,,gustavo.nao,2016-06-11T20:18:21.787Z,
Feature,plazasparques.52,Point,-68.10801523,-16.52003329,geom,Censao,Alto Obrajes,2,Parque,21,,clara.revollo,2016-06-02T21:01:26.080Z,
Feature,plazasparques.53,Point,-68.14595286,-16.49568239,geom,Garita de Lima,14 de Septiembre,1,Plaza,7,,gustavo.nao,2016-06-11T20:41:55.283Z,
Feature,plazasparques.54,Point,-68.10261533,-16.5334904,geom,Club de Leones,Alto Següencoma,2,Parque,21,,eduardo.lima,2016-06-09T18:42:30.750Z,
Feature,plazasparques.55,Point,-68.14115002,-16.50002483,geom,Gran Poder,Gran Poder,1,Plaza,6,,gustavo.nao,2016-06-11T20:39:57.777Z,
Feature,plazasparques.56,Point,-68.09840336,-16.5401106,geom,CONAVI,Alto Següencoma,2,Parque,21,,gustavo.nao,2018-09-11T21:12:10.493Z,
Feature,plazasparques.57,Point,-68.14830619,-16.49337634,geom,Del Electricista,Villa Victoria,1,Plaza,8,,gustavo.nao,2016-06-11T20:20:26.867Z,
Feature,plazasparques.58,Point,-68.07952781,-16.52441271,geom,Infantil,Alto Irpavi,2,Parque,18,,eduardo.lima,2016-06-09T18:44:03.753Z,
Feature,plazasparques.59,Point,-68.15128544,-16.49536805,geom,Tomas Katari-M. Reyes,Callampaya,1,Plaza,8,,gustavo.nao,2016-06-11T20:19:37.730Z,
Feature,plazasparques.60,Point,-68.08553708,-16.50800498,geom,El Vergel,El Vergel,2,Parque,18,,eduardo.lima,2016-06-03T23:04:35.300Z,
Feature,plazasparques.61,Point,-68.15690703,-16.49083406,geom,Hnos. Garcia Lanza,Mariscal Santa Cruz,1,Plaza,8,,gustavo.nao,2016-06-11T20:15:22.567Z,
Feature,plazasparques.62,Point,-68.113414,-16.51988186,geom,Los Alamos,Obrajes,2,Parque,21,,clara.revollo,2016-06-02T20:59:13.053Z,
Feature,plazasparques.64,Point,-68.07805065,-16.535069,geom,Niños Heroes de Bolivia,Achumani,2,Parque,18,,clara.revollo,2016-06-02T22:05:29.173Z,
Feature,plazasparques.65,Point,-68.15611083,-16.48786229,geom,Munaypata,Munaypata,1,Plaza,9,,gustavo.nao,2016-06-11T19:59:34.880Z,
Feature,plazasparques.66,Point,-68.07255702,-16.52861669,geom,Jaime Saenz,Achumani,2,Parque,18,,clara.revollo,2016-06-02T22:00:06.977Z,
Feature,plazasparques.67,Point,-68.14938795,-16.50019795,geom,Litoral,Obispo Indaburo,1,Plaza,7,,gustavo.nao,2016-06-11T20:33:44.420Z,
Feature,plazasparques.68,Point,-68.08363198,-16.50923765,geom,Peña Azul,Alto Irpavi,2,Parque,18,,eduardo.lima,2016-06-09T18:43:19.287Z,
Feature,plazasparques.69,Point,-68.14482289,-16.49997432,geom,Puente Abaroa,Gran Poder,1,Plaza,7,,gustavo.nao,2016-06-11T20:39:23.533Z,
Feature,plazasparques.70,Point,-68.10768593,-16.53403378,geom,La Rinconada,Alto Següencoma,2,Parque,21,,eduardo.lima,2016-06-09T19:21:05.610Z,
Feature,plazasparques.71,Point,-68.15012685,-16.45784881,geom,Ciudadela Ferroviaria,Ciudadela Ferroviaria,1,Plaza,10,,gustavo.nao,2016-06-11T19:57:24.093Z,
Feature,plazasparques.72,Point,-68.09445249,-16.54144668,geom,Brown,Següencoma Bajo,2,Parque,21,,eduardo.lima,2016-06-09T19:21:54.440Z,
Feature,plazasparques.73,Point,-68.14780615,-16.49122425,geom,Virrey Toledo,Villa Victoria,1,Plaza,8,,gustavo.nao,2016-06-11T20:17:41.367Z,
Feature,plazasparques.74,Point,-68.06937579,-16.5298558,geom,Noel Kempf Mercado,Achumani,2,Parque,18,,clara.revollo,2016-06-02T21:59:14.083Z,
Feature,plazasparques.75,Point,-68.12419691,-16.48968828,geom,Soria,Miraflores,1,Plaza,2,,bescobar,2016-06-03T22:01:15.410Z,
Feature,plazasparques.76,Point,-68.04523125,-16.53851496,geom,Chasquipampa,Chasquipampa,2,Parque,19,,gustavo.nao,2018-09-11T21:09:34.907Z,
Feature,plazasparques.77,Point,-68.11128515,-16.50850741,geom,Del Minero,Villa Armonía,1,Plaza,17,,,,
Feature,plazasparques.78,Point,-68.06915453,-16.54278051,geom,Waldo Ballivian,Calacoto Alto,2,Parque,18,,clara.revollo,2016-06-02T21:56:46.450Z,
Feature,plazasparques.79,Point,-68.10399033,-16.49743958,geom,Cívica,Pampahasi,1,Plaza,16,,,,
Feature,plazasparques.80,Point,-68.07862326,-16.53013184,geom,Koani,Koani,2,Parque,18,,clara.revollo,2016-06-09T18:56:21.470Z,
Feature,plazasparques.81,Point,-68.11673748,-16.48390806,geom,Luis Uria,Villa Copacabana,1,Plaza,14,,,,
Feature,plazasparques.82,Point,-68.10625526,-16.52373156,geom,Flamegor,Obrajes,2,Parque,21,,gustavo.nao,2018-09-11T21:14:45.163Z,
Feature,plazasparques.83,Point,-68.11837554,-16.49194111,geom,Villamil de Rada,Villa Copacabana,1,Plaza,14,,gustavo.nao,2016-06-11T20:44:23.543Z,
Feature,plazasparques.84,Point,-68.0903357,-16.52430785,geom,Cornelio Saavedra,Bolognia,2,Parque,21,,eduardo.lima,2016-06-09T18:41:25.507Z,
Feature,plazasparques.85,Point,-68.11209399,-16.51399756,geom,Kori Pujyo,Cuarto Centenario,1,Plaza,17,,,,
Feature,plazasparques.86,Point,-68.09425772,-16.556711,geom,Bartolina Sisa,Aranjuéz,2,Parque,20,,lchurata,2016-06-02T22:33:04.950Z,Parque Macro distrital
Feature,plazasparques.87,Point,-68.11898365,-16.49476444,geom,Orkojahuira,Miraflores,2,Parque,2,,carlos.medrano,2016-06-11T23:05:38.610Z,
Feature,plazasparques.88,Point,-68.10741363,-16.50278727,geom,San Antonio,San Antonio,1,Plaza,15,,,,
Feature,plazasparques.89,Point,-68.12882298,-16.50062684,geom,Urbano Central,Santa Barbara,2,Parque,2,,carlos.medrano,2016-06-11T23:05:32.823Z,
Feature,plazasparques.90,Point,-68.11399886,-16.51133008,geom,IV Centenario,Cuarto Centenario,1,Plaza,17,,,,
Feature,plazasparques.91,Point,-68.08646333,-16.51485423,geom,Litoral,Irpavi,1,Plaza,18,,eduardo.lima,2016-06-09T19:27:28.233Z,
Feature,plazasparques.92,Point,-68.08109869,-16.57835388,geom,Valle del Sol (Ampliación),Mallasa,2,Parque,20,,lchurata,2016-06-06T13:03:14.397Z,
Feature,plazasparques.93,Point,-68.07992995,-16.57701747,geom,Nacional MALLASA,Mallasa,2,Parque,20,,lchurata,2016-06-06T13:05:21.520Z,"Se encuentra toda el área del zoológico y áreas de recorrido para cuadratrax, el ex relleno sanitario."
Feature,plazasparques.94,Point,-68.0752425,-16.53577591,geom,Jaime Escalante,Bajo Achumani,1,Plaza,18,,clara.revollo,2016-06-02T22:00:42.707Z,
Feature,plazasparques.95,Point,-68.08336875,-16.57379448,geom,Valle del Sol,Mallasa,2,Parque,20,,lchurata,2016-06-06T13:03:23.973Z,
Feature,plazasparques.96,Point,-68.0712188,-16.53061929,geom,De la Amistad,Achumani,1,Plaza,18,,clara.revollo,2016-06-02T21:59:55.753Z,
Feature,plazasparques.97,Point,-68.07369476,-16.53350825,geom,De las Américas,Achumani,1,Plaza,18,,eduardo.lima,2016-06-09T19:34:00.857Z,
Feature,plazasparques.99,Point,-68.11697437,-16.46884635,geom,Infantil Alpachs,La Mercéd,2,Parque,13,,gustavo.nao,2018-09-11T22:47:50.627Z,
Feature,plazasparques.100,Point,-68.07597211,-16.53391648,geom,De la Paz Mundial,Achumani,1,Plaza,18,,clara.revollo,2016-06-02T22:00:33.260Z,
Feature,plazasparques.101,Point,-68.1145432,-16.47008142,geom,El Carmen Central,El Rosal,2,Parque,13,,gustavo.nao,2018-09-11T22:46:45.077Z,
Feature,plazasparques.102,Point,-68.09397504,-16.54361291,geom,De la Mujer,Següencoma Bajo,1,Plaza,21,,clara.revollo,2016-06-02T21:05:03.740Z,
Feature,plazasparques.103,Point,-68.11905825,-16.48068743,geom,Gutemberg,Barrio Gráfico,2,Parque,13,,,,
Feature,plazasparques.104,Point,-68.09952593,-16.53089499,geom,Del Periodista,Obrajes,1,Plaza,21,,clara.revollo,2016-06-02T21:02:34.157Z,
Feature,plazasparques.105,Point,-68.12289937,-16.47766571,geom,Av. Las Delicias,Chapuma,2,Parque,12,,gmatta,2016-06-02T22:15:42.300Z,
Feature,plazasparques.106,Point,-68.10839706,-16.52714287,geom,16 de julio,Obrajes,1,Plaza,21,,clara.revollo,2016-06-10T14:36:35.757Z,
Feature,plazasparques.107,Point,-68.14697961,-16.47981209,geom,Cabo Juan,Vino Tinto Bajo,2,Parque,11,,gmatta,2016-06-02T21:59:42.747Z,
Feature,plazasparques.108,Point,-68.10590839,-16.52773026,geom,De la Loba,Obrajes,1,Plaza,21,,gustavo.nao,2018-09-11T21:36:51.043Z,
Feature,plazasparques.109,Point,-68.14530618,-16.47845279,geom,Juan Lechín,Villa 18 de Mayo,2,Parque,11,,gmatta,2016-06-02T22:00:08.647Z,
Feature,plazasparques.110,Point,-68.10547007,-16.5273683,geom,Cueto Vidaurre,Obrajes,1,Plaza,21,,eduardo.lima,2016-06-09T19:35:42.847Z,
Feature,plazasparques.111,Point,-68.14381052,-16.48403474,geom,Angel Andino,Challapampa,2,Parque,11,,gmatta,2016-06-02T22:00:43.740Z,
Feature,plazasparques.112,Point,-68.10541573,-16.52386211,geom,U.F.A.O.,Obrajes,1,Plaza,21,,gustavo.nao,2018-09-11T21:38:35.457Z,
Feature,plazasparques.113,Point,-68.13647557,-16.48575026,geom,Maracana,Hoyada Norte Calvario,2,Parque,11,,gmatta,2016-06-02T22:09:15.023Z,
Feature,plazasparques.114,Point,-68.10319283,-16.52299174,geom,Amistad,Alto Obrajes,1,Plaza,21,,clara.revollo,2016-06-02T21:01:54.193Z,
Feature,plazasparques.115,Point,-68.13705133,-16.48961251,geom,Calama,Norte Caja de Agua,2,Parque,11,,gustavo.nao,2018-09-11T22:38:39.707Z,
Feature,plazasparques.116,Point,-68.09679112,-16.53759526,geom,Maria Luisa Pacheco,Següencoma Bajo,1,Plaza,21,,gustavo.nao,2018-09-11T21:42:37.700Z,
Feature,plazasparques.117,Point,-68.13507131,-16.48984132,geom,Iruya,Norte Caja de Agua,2,Parque,11,,gmatta,2016-06-02T22:11:52.460Z,
Feature,plazasparques.118,Point,-68.09964142,-16.53878822,geom,Cívica,Alto Següencoma,1,Plaza,21,,gustavo.nao,2018-09-11T21:44:13.143Z,
Feature,plazasparques.119,Point,-68.13448891,-16.48779008,geom,Humahuaca,Norte Calvario Central,2,Parque,11,,gmatta,2016-06-02T22:11:05.987Z,
Feature,plazasparques.120,Point,-68.10108769,-16.53746648,geom,CONAVI Central,Alto Següencoma,1,Plaza,21,,eduardo.lima,2016-06-09T19:29:52.273Z,
Feature,plazasparques.121,Point,-68.1328833,-16.48406977,geom,De la Integración,Villa de la Cruz,2,Parque,11,,gmatta,2016-06-02T22:10:07.990Z,
Feature,plazasparques.122,Point,-68.10072224,-16.53555219,geom,Betancour,Alto Següencoma,1,Plaza,21,,clara.revollo,2016-06-02T21:04:39.483Z,
Feature,plazasparques.123,Point,-68.11728198,-16.50353959,geom,Jardín Botánico,Miraflores Sur,2,Parque,2,,clara.revollo,2016-06-25T20:44:56.243Z,
Feature,plazasparques.124,Point,-68.07596382,-16.52908666,geom,Guillermo Jose Eustaquio Mendez,Meseta Achumani,1,Plaza,18,,gustavo.nao,2018-09-11T20:13:01.787Z,
Feature,plazasparques.125,Point,-68.11968554,-16.51178499,geom,Gruta de Lourdes,Miraflores Sur,2,Parque,2,,carlos.medrano,2016-06-11T23:06:47.667Z,
Feature,plazasparques.126,Point,-68.09097392,-16.51470005,geom,De la Mujer,Bolognia,1,Plaza,21,,,,
Feature,plazasparques.127,Point,-68.12757543,-16.50258326,geom,Urbano Central,Miraflores Sur,2,Parque,2,,carlos.medrano,2016-06-11T23:07:23.683Z,
Feature,plazasparques.128,Point,-68.09050284,-16.51662543,geom,De la Piedra,Bolognia,1,Plaza,21,,,,
Feature,plazasparques.129,Point,-68.12812442,-16.50394199,geom,Alfredo Dominguez Romero,Casco Viejo,2,Parque,1,,carlos.medrano,2016-06-11T23:07:32.467Z,
Feature,plazasparques.130,Point,-68.09005865,-16.52088477,geom,Fuerzas Armadas,Bolognia,1,Plaza,21,,,,
Feature,plazasparques.131,Point,-68.12768909,-16.50113847,geom,Espacio de Pequeños Conciertos,Santa Barbara,2,Parque,2,,carlos.medrano,2016-06-11T23:09:43.753Z,
Feature,plazasparques.132,Point,-68.09016208,-16.52501353,geom,San Martín,Bolognia,1,Plaza,21,,gustavo.nao,2018-09-11T21:55:09.780Z,
Feature,plazasparques.133,Point,-68.097158,-16.52819712,geom,Tichawer,Bella Vista,1,Plaza,21,,clara.revollo,2016-06-02T21:02:26.250Z,
Feature,plazasparques.134,Point,-68.08254937,-16.53810343,geom,Miguel Tejada Velasco,Bajo Achumani,1,Plaza,18,,gustavo.nao,2018-09-11T20:40:04.847Z,
Feature,plazasparques.135,Point,-68.10988013,-16.52069511,geom,Humberto Quezada Arce,Alto Obrajes,1,Plaza,21,,clara.revollo,2016-06-02T21:00:20.227Z,
Feature,plazasparques.136,Point,-68.1031312,-16.52021713,geom,Jardín del Libro,Alto Obrajes,1,Plaza,21,,clara.revollo,2016-06-25T20:45:07.500Z,
Feature,plazasparques.137,Point,-68.08410845,-16.51632967,geom,Luis Ramiro Beltrán Salmón,Alto Irpavi,1,Plaza,18,,gustavo.nao,2018-09-11T20:30:59.347Z,
Feature,plazasparques.138,Point,-68.09034914,-16.51822377,geom,Los Leones,Bolognia,1,Plaza,21,,,,
Feature,plazasparques.139,Point,-68.08734062,-16.52402782,geom,Almirante Grau,Irpavi,1,Plaza,18,,gustavo.nao,2018-09-11T20:40:09.763Z,
Feature,plazasparques.140,Point,-68.08639332,-16.52055202,geom,Tres Pasos al Frente,Irpavi,1,Plaza,18,,gustavo.nao,2018-09-11T20:36:32.017Z,
Feature,plazasparques.141,Point,-68.0824865,-16.50421173,geom,Aruntaya,El Vergel,1,Plaza,18,,gustavo.nao,2018-09-11T20:39:18.560Z,
Feature,plazasparques.142,Point,-68.06718855,-16.52481134,geom,Alfredo Rea Nogales,Achumani,1,Plaza,18,,clara.revollo,2016-06-02T21:58:51.450Z,
Feature,plazasparques.143,Point,-68.06607741,-16.51814467,geom,Naciones Unidas,Achumani,1,Plaza,18,,clara.revollo,2016-06-02T21:58:32.310Z,
Feature,plazasparques.144,Point,-68.0904542,-16.51984811,geom,Cívica,Bolognia,1,Plaza,21,,,,
Feature,plazasparques.145,Point,-68.06888824,-16.52600303,geom,Hernan Greiner SOS,Achumani,1,Plaza,18,,clara.revollo,2016-06-02T21:59:01.647Z,
Feature,plazasparques.146,Point,-68.10451799,-16.52142173,geom,Del Ingeniero,Alto Obrajes,1,Plaza,21,,gustavo.nao,2018-09-11T21:56:01.753Z,
Feature,plazasparques.147,Point,-68.07632302,-16.52830993,geom,Libertad,Meseta Achumani,1,Plaza,18,,gustavo.nao,2018-09-11T20:46:43.167Z,
Feature,plazasparques.148,Point,-68.08705154,-16.52561012,geom,Yolanda Bedregal de Conitzer,Irpavi,1,Plaza,18,,gustavo.nao,2018-09-11T20:51:57.050Z,
Feature,plazasparques.149,Point,-68.09149986,-16.54185762,geom,Alexander Von Humboldt,Calacoto,1,Plaza,18,,clara.revollo,2016-06-02T21:07:10.237Z,
Feature,plazasparques.150,Point,-68.09973702,-16.52439273,geom,Huanu Huanuni,Huanu Huanuni,1,Plaza,21,,gustavo.nao,2018-09-11T21:56:48.613Z,
Feature,plazasparques.151,Point,-68.13993809,-16.48931971,geom,Antofagasta,Challapampa,1,Plaza,11,,gmatta,2016-06-02T22:01:14.087Z,
Feature,plazasparques.152,Point,-68.14078765,-16.49389832,geom,Eguino,El Rosario,1,Plaza,1,,carlos.medrano,2016-06-11T23:14:22.137Z,
Feature,plazasparques.153,Point,-68.13846808,-16.49335416,geom,Alonso de Mendoza,San Sebastián,1,Plaza,1,,carlos.medrano,2016-06-11T23:14:25.840Z,
Feature,plazasparques.154,Point,-68.13990541,-16.49168898,geom,Alexander,San Sebastián,1,Plaza,1,,carlos.medrano,2016-06-11T23:14:29.643Z,
Feature,plazasparques.155,Point,-68.13139174,-16.49471373,geom,Del Médico,Casco Viejo,1,Plaza,1,,carlos.medrano,2016-06-11T23:14:35.257Z,
Feature,plazasparques.156,Point,-68.13348586,-16.49584581,geom,Murillo,Casco Viejo,1,Plaza,1,,carlos.medrano,2016-06-11T23:14:38.667Z,
Feature,plazasparques.157,Point,-68.1312149,-16.50420724,geom,Franz Tamayo (estudiante),Casco Viejo,1,Plaza,1,,carlos.medrano,2016-06-11T23:14:43.100Z,
Feature,plazasparques.158,Point,-68.12667644,-16.50694594,geom,Bolivia,San Jorge,1,Plaza,1,,carlos.medrano,2016-06-11T23:14:46.647Z,
Feature,plazasparques.159,Point,-68.12234952,-16.51085009,geom,Zenon Iturralde,San Jorge,1,Plaza,1,,carlos.medrano,2016-06-11T23:14:51.407Z,
Feature,plazasparques.160,Point,-68.12423332,-16.50931014,geom,Isabel La Católica,San Jorge,1,Plaza,1,,carlos.medrano,2016-06-11T23:14:55.420Z,
Feature,plazasparques.161,Point,-68.12427971,-16.49696846,geom,Uyuni,Miraflores,1,Plaza,2,,carlos.medrano,2016-06-11T23:14:59.170Z,
Feature,plazasparques.162,Point,-68.12086232,-16.50405549,geom,José de San Martin (triangular),Miraflores Sur,1,Plaza,2,,carlos.medrano,2016-06-11T23:15:04.087Z,
Feature,plazasparques.163,Point,-68.12414572,-16.49950643,geom,Tejada Sorzano,Miraflores,1,Plaza,2,,carlos.medrano,2016-06-11T23:15:07.713Z,
Feature,plazasparques.164,Point,-68.11759175,-16.51245709,geom,José Miguel García Lanza,Miraflores Sur,1,Plaza,2,,carlos.medrano,2016-06-11T23:15:11.170Z,
Feature,plazasparques.165,Point,-68.12372306,-16.51377548,geom,Gardel,San Jorge,1,Plaza,1,,carlos.medrano,2016-06-11T23:15:14.507Z,
Feature,plazasparques.166,Point,-68.1218047,-16.48416318,geom,Villarroel,Miraflores,1,Plaza,2,,carlos.medrano,2016-06-11T23:15:17.930Z,
Feature,plazasparques.167,Point,-68.13269029,-16.49691881,geom,Obispo Bosque,Casco Viejo,1,Plaza,1,,carlos.medrano,2016-06-11T23:15:22.523Z,
Feature,plazasparques.168,Point,-68.13468108,-16.49379048,geom,Wenceslao Monrroy,Casco Viejo,1,Plaza,1,,carlos.medrano,2016-06-11T23:15:26.330Z,
Feature,plazasparques.169,Point,-68.13716501,-16.49564472,geom,Mayor de Los Heroes,San Sebastián,1,Plaza,1,,carlos.medrano,2016-06-11T23:15:30.310Z,
Feature,plazasparques.170,Point,-68.11749695,-16.50443903,geom,Badem Powell,Miraflores Sur,1,Plaza,2,,carlos.medrano,2016-06-11T23:15:34.530Z,
Feature,plazasparques.171,Point,-68.11885804,-16.48325115,geom,Pettofi,Barrio Gráfico,1,Plaza,13,,gustavo.nao,2018-09-11T22:47:38.860Z,
