type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/ActividadEconomica,properties/MacroDistrito,properties/DistritoVarchar,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,farmacias_smde.12,Point,-68.07172181,-16.53377743,geom,Venta de productos Farmacéuticos,C. Alexander # 108,ACHUMANI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SUR,DISTRITO 18,0,,gustavo.nao,2016-06-09T20:38:10.793Z,,
Feature,farmacias_smde.13,Point,-68.12570133,-16.48932153,geom,Farmacia,C. 16 de Julio Esq. Av. Tejada Sorzano # 988,SAN JUAN LAZARETO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 12,0,,gustavo.nao,2016-06-10T13:23:47.680Z,,
Feature,farmacias_smde.14,Point,-68.12099393,-16.49351434,geom,Importador y Exportador de productos Farmacéuticos - Tecno Medical Bolivia,Av. Busch # 1211,MIRAFLORES,Comercio y Servicios,VENT.P/MAYOR DE PRODUC.FARMACEUTICOS Y MEDICINALES,CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-09T20:38:33.963Z,,
Feature,farmacias_smde.15,Point,-68.12043841,-16.47901728,geom,Farmacia Gloria,Av. Las Américas # 264,VILLA FATIMA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 13,0,,gustavo.nao,2016-06-09T20:38:51.730Z,,
Feature,farmacias_smde.16,,,,geom,Venta de productos Farmacéuticos,Av. Hernando Siles # 6106,OBRAJES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 21,,,,,,
Feature,farmacias_smde.17,Point,-68.13177396,-16.51556901,geom,Fabricación y venta de productos Farmacéuticos,C. Méndez Arcos # 957-B,SOPOCACHI,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-09T20:39:10.967Z,,
Feature,farmacias_smde.18,Point,-68.14133515,-16.50050947,geom,Farmacia Rodríguez,C. Venancio Burgoa # 658,GRAN PODER,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 7,0,,gustavo.nao,2016-06-09T20:39:27.997Z,,
Feature,farmacias_smde.19,,,,geom,Farmacia Lita,C. Martínez Monje # 1111,VILLA NUEVO POTOSI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 5,,,,,,
Feature,farmacias_smde.20,Point,-68.15396177,-16.49498233,geom,Farmacia Lara Soto,C. Lizardo Taborga # 1523,EL TEJAR,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 8,0,,gustavo.nao,2016-06-09T20:39:51.687Z,,
Feature,farmacias_smde.21,,,,geom,Farmacia Europa,C. Yanacocha # 538,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.22,Point,-68.15348092,-16.49446549,geom,Farmacia San Juan,C. Manuel Bustillo # 712,EL TEJAR,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 8,0,,gustavo.nao,2016-06-09T20:40:05.210Z,,
Feature,farmacias_smde.23,Point,-68.08678314,-16.52483837,geom,Venta por menor de productos Farmacéuticos,Av. Altamirano # 6629,IRPAVI,Comercio y Servicios,VENT.P/MAYOR DE PRODUC.FARMACEUTICOS Y MEDICINALES,SUR,DISTRITO 18,0,,gustavo.nao,2016-06-09T20:40:23.210Z,,
Feature,farmacias_smde.24,Point,-68.1388914,-16.51468798,geom,Hypermarcas,Av. Jaime Zudañez # 1444,TEMBLADERANI,Comercio y Servicios,VENT.P/MAYOR DE PRODUC.FARMACEUTICOS Y MEDICINALES,COTAHUMA,DISTRITO 4,0,,gustavo.nao,2016-06-13T19:42:53.103Z,,
Feature,farmacias_smde.25,,,,geom,Farmacia Fatima,C. Arapata No. 1120,VILLA FATIMA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 13,,,,,,
Feature,farmacias_smde.26,Point,-68.13002583,-16.4971837,geom,Farmacia América,C. Yungas # 601 Esq. C. Ballivián,SANTA BARBARA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T19:43:47.437Z,,
Feature,farmacias_smde.27,Point,-68.15317037,-16.50484584,geom,Farmacia Reencarnación,Av. 9 De Abril # 194,ALTO CHIJINI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 7,0,,gustavo.nao,2016-06-13T19:44:12.343Z,,
Feature,farmacias_smde.28,,,,geom,Importador y Exportador Sumipharma,C. Eusebio Gutierrez # 134,VILLA FATIMA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 13,,,,,,
Feature,farmacias_smde.29,,,,geom,Farmacia Virgen de Las Nieves,Av. Chacaltaya # 1146,ACHACHICALA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 11,,,,,,
Feature,farmacias_smde.30,Point,-68.14349544,-16.48806636,geom,Farmacia Isis,C. Constitución # 113,CHALLAPAMPA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 11,0,,gustavo.nao,2016-06-13T19:44:44.440Z,,
Feature,farmacias_smde.32,Point,-68.14820738,-16.47952601,geom,Farmacia,Av. Chacaltaya # 1080,ACHACHICALA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 11,11,,gustavo.nao,2016-06-13T19:45:03.220Z,,
Feature,farmacias_smde.33,Point,-68.11842417,-16.48004063,geom,Inmed F.C.,C. 8 # 1630,VILLA FATIMA,Comercio y Servicios,"VENT.P/MENOR N.C.P. PRODUC.FARMAC,MEDIC,COSMET,TOC",PERIFERICA,DISTRITO 13,0,,gustavo.nao,2016-06-10T13:00:57.650Z,,
Feature,farmacias_smde.34,Point,-68.10557064,-16.52816951,geom,Comercialización de productos de Tocador Y Farmacéuticos,C. 12 # 315,OBRAJES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 21,0,,gustavo.nao,2016-06-10T13:04:09.217Z,,
Feature,farmacias_smde.35,Point,-68.15197989,-16.49170121,geom,Farmacia Señor de Mayo,Av. República # 1479,VILLA VICTORIA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 8,0,,gustavo.nao,2016-06-10T13:07:16.483Z,,
Feature,farmacias_smde.36,Point,-68.1201597,-16.50656386,geom,Provein Medica,Av. Saavedra # 2218,MIRAFLORES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T19:46:27.930Z,,
Feature,farmacias_smde.37,Point,-68.07402296,-16.53219175,geom,Farmacia San Alberto,Av. García Lanza # 652,ACHUMANI,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 18,0,,gustavo.nao,2016-06-13T19:46:49.227Z,,
Feature,farmacias_smde.38,Point,-68.13777248,-16.49402298,geom,Farmacia Niño Jesús I,C. Evaristo Valle # 153,CENTRAL,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T19:47:18.617Z,,
Feature,farmacias_smde.39,Point,-68.12470294,-16.49908899,geom,Farmacia Bolivia,C. Claudio Pinilla # 150,MIRAFLORES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T19:47:45.353Z,,
Feature,farmacias_smde.40,Point,-68.12148687,-16.48057084,geom,Ave María,Av. Tejada Sorzano # 258,VILLA FATIMA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 13,0,,gustavo.nao,2016-06-13T19:48:11.510Z,,
Feature,farmacias_smde.41,Point,-68.13783519,-16.49526676,geom,Farmacia Gloria,C. Figueroa # L-3 Edf. Gonzales,ROSARIO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T19:48:54.553Z,,
Feature,farmacias_smde.42,Point,-68.14988667,-16.49774481,geom,Farmacia Libertad,Av. Entre Ríos # 1119,LOS ANDES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",MAX PAREDES,DISTRITO 7,0,,gustavo.nao,2016-06-13T19:49:17.033Z,,
Feature,farmacias_smde.43,Point,-68.14455029,-16.49767129,geom,Farmacia Placido,Av. Buenos Aires # 724,14 DE SEPTIEMBRE,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",MAX PAREDES,DISTRITO 7,0,,gustavo.nao,2016-06-13T19:49:38.900Z,,
Feature,farmacias_smde.44,Point,-68.12279112,-16.50501434,geom,Farmacia Suazo,C. Juan de Vargas # 1205 Vivero II,MIRAFLORES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T19:50:25.240Z,,
Feature,farmacias_smde.45,Point,-68.10304354,-16.49931222,geom,Farmacia San Francisco de Borja,Av. 23 de Marzo # 289,PAMPAHASI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SAN ANTONIO,DISTRITO 16,0,,gustavo.nao,2016-06-13T19:50:47.543Z,,
Feature,farmacias_smde.46,Point,-68.11753011,-16.48899147,geom,Farmacia Oliseb,Av. Vicente Burgaleta # 996,VILLA COPACABANA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SAN ANTONIO,DISTRITO 14,0,,gustavo.nao,2016-06-13T19:51:33.223Z,,
Feature,farmacias_smde.47,,,,geom,Farmacia Merialbi,Av. Jaime Zudañes # 1123,SOPOCACHI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 3,,,,,,
Feature,farmacias_smde.48,Point,-68.10195518,-16.52972545,geom,Farmacias Bolivia,Av. Hernando Siles # 6204,OBRAJES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SUR,DISTRITO 21,0,,gustavo.nao,2016-06-13T19:51:54.293Z,,
Feature,farmacias_smde.49,Point,-68.08801655,-16.52870439,geom,P H A R M A J 4 - Med,C. Ovando Candia # 280,IRPAVI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SUR,DISTRITO 18,0,,gustavo.nao,2016-06-13T19:52:28.577Z,,
Feature,farmacias_smde.50,Point,-68.125131,-16.50002262,geom,Farmacia Trébol,Av. Simón Bolívar # 1984,MIRAFLORES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T19:52:48.687Z,,
Feature,farmacias_smde.51,,,,geom,Farmacia las Flores,C. Bueno # 204,CENTRAL,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.52,,,,geom,Farmandrug,C. Potosí # 990,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.53,,,,geom,Servicios de Farmacia,C. 25 Esq. Los Pinos # 333,CALACOTO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 19,,,,,,
Feature,farmacias_smde.54,Point,-68.12446785,-16.5097122,geom,Farmacia Bolivia,Pza. Isabel la Católica # 2508,SAN JORGE,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T19:53:47.647Z,,
Feature,farmacias_smde.55,Point,-68.14144267,-16.49443713,geom,Farmacia Bolivia,Av. Tumusla # 465,ROSARIO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T19:54:16.060Z,,
Feature,farmacias_smde.56,Point,-68.11801543,-16.50142218,geom,Raimenbol S.R.L.,C. Díaz Romero # 1704,MIRAFLORES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T19:55:07.753Z,,
Feature,farmacias_smde.57,Point,-68.12896383,-16.51452914,geom,Farmacia Bolivia,C. Víctor Sanjinés # A- 2698,SOPOCACHI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T19:55:52.380Z,,
Feature,farmacias_smde.58,Point,-68.04324016,-16.53509659,geom,Farmacia,Av. Defensores del Chaco # 1000,CHASQUIPAMPA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 19,0,,gustavo.nao,2016-06-13T20:01:26.597Z,,
Feature,farmacias_smde.59,Point,-68.12440372,-16.49660041,geom,Farmacia Gloria,Av. Iturralde # 1390,MIRAFLORES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T20:02:02.327Z,,
Feature,farmacias_smde.60,Point,-68.14277624,-16.49498796,geom,Farmacia Bolivia,Av. Tumusla # 569 Paulinas,ROSARIO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T20:02:39.703Z,,
Feature,farmacias_smde.61,Point,-68.13298081,-16.49889812,geom,Farmaexpres S.A.,C. Loayza # 250,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T20:02:56.077Z,,
Feature,farmacias_smde.62,,,,geom,Farmacia Aldo,Av. Muñoz Reyes # 224,COTA COTA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 19,,,,,,
Feature,farmacias_smde.63,Point,-68.10797931,-16.52611538,geom,Mifarma S.A.,Av. H. Siles Edf. I. de Loyola II Loc. # 2,OBRAJES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 21,0,,gustavo.nao,2016-06-13T20:05:43.840Z,,
Feature,farmacias_smde.64,Point,-68.08665413,-16.53288524,geom,Empresa Comercializadora Mifarma S.A.,Av. R. Pabón - Megacenter,IRPAVI,Comercio y Servicios,"VENT.P/MENOR N.C.P. PRODUC.FARMAC,MEDIC,COSMET,TOC",SUR,DISTRITO 18,0,,gustavo.nao,2016-06-13T20:08:02.463Z,,
Feature,farmacias_smde.65,,,,geom,Corporación Boliviana de Farmacias S.A.,C. Zoilo Flores # 1198,ALTO SAN PEDRO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 6,,,,,,
Feature,farmacias_smde.66,,,,geom,Farmacia Luz de Copacabana,Av. Final Burgaleta # 611,VILLA COPACABANA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SAN ANTONIO,DISTRITO 14,,,,,,
Feature,farmacias_smde.67,Point,-68.07667633,-16.54451525,geom,Farmacorp S.A.,C. 21 Esq. Aguirre Acha,CALACOTO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SUR,DISTRITO 19,0,,clara.revollo,2016-07-26T00:41:49.793Z,,
Feature,farmacias_smde.68,,,,geom,Farmacia Psalm 23,Av. Alcides Arguedas # 507,LA PORTADA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 9,,,,,,
Feature,farmacias_smde.69,Point,-68.11101147,-16.50830678,geom,Farmacia Señor de la Sentencia,Pza. El Minero # 57,VILLA ARMONIA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SAN ANTONIO,DISTRITO 17,0,,gustavo.nao,2016-06-13T20:58:30.447Z,,
Feature,farmacias_smde.70,,,,geom,Farmacia Petra,C. 53 # 7,CHASQUIPAMPA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 19,,,,,,
Feature,farmacias_smde.71,Point,-68.12032309,-16.50274524,geom,Ultrafarma,C. Villalobos # 1466 Edf. Huari,MIRAFLORES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T20:59:03.360Z,,
Feature,farmacias_smde.72,,,,geom,Farmacia Alarcón,C. Max Paredes # 447,14 DE SEPTIEMBRE,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 7,0,,clara.revollo,2016-07-26T13:05:37.890Z,,
Feature,farmacias_smde.73,Point,-68.12587272,-16.51051186,geom,Farmacias Gloria,Av. 20 de Octubre # 2497,SOPOCACHI,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T20:59:27.070Z,,
Feature,farmacias_smde.74,,,,geom,Farmacia Niño de Sikimira,C. Matías Terrazas # 7,VILLA FATIMA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 13,,,,,,
Feature,farmacias_smde.75,Point,-68.13588393,-16.49527198,geom,Farmacia Genaro Sanjinés,C. Genaro Sanjinés # 451,CENTRAL,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T20:59:54.113Z,,
Feature,farmacias_smde.76,Point,-68.15825417,-16.4976202,geom,Farmacia Luz Briana,Av. Utapulpera # 1903,ALTO TEJAR,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",MAX PAREDES,DISTRITO 8,0,,gustavo.nao,2016-06-13T21:00:24.187Z,,
Feature,farmacias_smde.77,Point,-68.14216831,-16.47903694,geom,Farmacia Magua,Av. Baltazar de Salas # 200,VINO TINTO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 11,0,,gustavo.nao,2016-06-13T21:00:56.407Z,,
Feature,farmacias_smde.78,Point,-68.07090533,-16.52912419,geom,"Venta por menor de productos Farmacéuticos, Medicinales, Cosméticos Grimas S.R.L.",C. 22 # 450,ACHUMANI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SUR,DISTRITO 18,0,,clara.revollo,2016-07-26T13:05:57.440Z,,
Feature,farmacias_smde.79,,,,geom,Farmacia Pampahasi,"C. E, entre Av. 5 Raúl Salmon # 1-A",PAMPAHASI,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SAN ANTONIO,DISTRITO 16,,,,,,
Feature,farmacias_smde.81,Point,-68.13215112,-16.50560629,geom,Farmacia Rada Suarez,Av. Landaeta # 432,SOPOCACHI,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T21:02:00.380Z,,
Feature,farmacias_smde.82,Point,-68.13199997,-16.50223615,geom,Farmacia La Paz,Av. 16 de Julio Edf. Alameda,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T21:02:31.577Z,,
Feature,farmacias_smde.83,,,,geom,Corporación Boliviana de Farmacias S.A.,C. Loayza Edf. V. de Copacabana # Pb-3,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.84,Point,-68.13694336,-16.49351607,geom,Corporación Boliviana de Farmacias S.A.,Av. Montes # 749,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T21:02:45.880Z,,
Feature,farmacias_smde.85,,,,geom,Corporación Boliviana de Farmacias S.A.,C. Comercio Esq. G. Sanjinés # 943,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.86,Point,-68.13456423,-16.4985659,geom,Corporación Boliviana de Farmacias S.A.,Av. Camacho Edf. Krsul-Pb,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,1,,nhuanquiri,2016-06-22T16:03:19.943Z,,
Feature,farmacias_smde.87,,,,geom,Distribuidora T.L.C (Venta de productos Farmacéuticos),C. Arturo Posnasky # 1184,MIRAFLORES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 2,,,,,,
Feature,farmacias_smde.88,,,,geom,Farmacia San Valentín,C. Max Paredes # 990,ROSARIO(COTAHUMA),Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",COTAHUMA,DISTRITO 6,,,,,,
