type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Zona,properties/Direccion,properties/Telefono,properties/Celular,properties/Fax,properties/Email,properties/PaginaWeb,properties/CategoriaActual,properties/Simple,properties/Doble,properties/Triple,properties/Fuente,properties/IdTipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,hospedajes.13,Point,-68.13782598,-16.49910212,geom,La Rivera,Centro,c. Tarija Nº 325 entre Illampu y Linares,2351887,,,,,,Bs. 30,Bs. 60,Bs. 90,empresa,1,6,,jeanine.blanco,2019-11-25T16:50:28.167Z,,
Feature,hospedajes.14,Point,-68.13943623,-16.49648599,geom,Las Brujas,Rosario,c. Santa Cruz Nº 389,,71945401,,www.bigsun.com,,,Bs. 40,Bs. 80,Bs. 110,empresa,1,1,,gustavo.nao,2019-06-19T15:49:17.117Z,,
Feature,hospedajes.15,Point,-68.14214647,-16.49262363,geom,Las Condes,San Sebastián,Av. Muñecas Nº 376,2355712,,,,,,,,,amarillas,1,1,,jeanine.blanco,2019-11-25T16:51:09.783Z,,
Feature,hospedajes.16,Point,-68.1422096,-16.49259569,geom,Liberty,San Sebastián,Av. Muñecas Nº 369,2455317,,,,,,,,,empresa,1,1,,gustavo.nao,2019-06-19T15:50:31.367Z,,
Feature,hospedajes.17,Point,-68.13761648,-16.49945549,geom,Linares,Rosario,c. Linares Nº 1052 lado ex Cine Murillo,2364282,,,,,,Bs. 30,Bs. 60,Bs. 100,empresa,1,6,,gustavo.nao,2019-06-19T15:53:25.353Z,,
Feature,hospedajes.18,Point,-68.14440454,-16.49513405,geom,Litoral,Gran Poder,Av. Buenos Aires 588,2452412,,,,,,Bs. 40,Bs. 70,,empresa,1,7,,jeanine.blanco,2019-11-25T16:51:41.273Z,,
Feature,hospedajes.19,Point,-68.13971225,-16.49544345,geom,Lorona,Rosario,c. Jiménez Nº 746,2457390,70833295,,,,,Bs. 50,Bs. 70,,empresa,1,1,,jeanine.blanco,2019-11-25T16:52:08.330Z,,
Feature,hospedajes.20,Point,-68.1447373,-16.49644503,geom,Los Angeles,Gran Poder,C. Max Paredes No. 575,2453726,,,,,,Bs. 15,Bs. 30,Bs. 45,empresa,1,0,,jeanine.blanco,2019-11-25T16:53:08.683Z,,
Feature,hospedajes.21,,,,geom,Norte,Norte,Av. Armentia Nº 517,2283631,,,,,,Bs. 25,Bs. 50,Bs. 75,empresa,1,,,,,,
Feature,hospedajes.22,Point,-68.14193777,-16.49169912,geom,Paraiso,Norte,C. Pucarani Nº 266,2460863,,,goad.flores@gmail.com,,,Bs. 20,Bs. 40,,empresa,1,1,,jeanine.blanco,2019-11-25T17:41:52.970Z,,
Feature,hospedajes.23,Point,-68.14321865,-16.49265527,geom,Posada Villa,Villa Pabón,Plza. Keneddy Nº 310,2455753,,,,,,Bs. 25,Bs. 35,,empresa,1,1,,jeanine.blanco,2019-11-25T17:42:04.083Z,,
Feature,hospedajes.24,Point,-68.14217671,-16.49295289,geom,Providencia,Norte,c. Muñecas Nº378,2460666,,,,,,,,,empresa,1,1,,jeanine.blanco,2019-11-25T17:42:10.780Z,,
Feature,hospedajes.25,Point,-68.13740558,-16.49927914,geom,Tipnis,Rosario,c. Linares Nº1039,2900568,,,,,,Bs. 50,Bs. 70,,empresa,1,6,,jeanine.blanco,2019-11-25T17:42:27.657Z,,
Feature,hospedajes.26,Point,-68.13622999,-16.50461314,geom,Toscana,San Pedro,C. G. Otero Calderon Nº 1536,2488499,,,,,,,,,empresa,4,2,,jeanine.blanco,2019-11-25T18:00:35.833Z,,
Feature,hospedajes.27,Point,-68.14279036,-16.4918839,geom,Villazon,San Sebastián,c. Torrelio Nº 371,2450672,,,,,,Bs. 15,Bs. 30,Bs. 45,empresa,1,1,,gustavo.nao,2019-06-19T18:38:23.050Z,,
Feature,hospedajes.28,,,,geom,APART HOTEL LA PAZ,,,,,,,,,,,,,2,,,,,,
Feature,hospedajes.29,Point,-68.12907825,-16.51419506,geom,Alcalá,Sopocachi,"c. Victor Sanjinez Nº 2662, Plaza España",,,,info@alcalapartamentos.com,http://www.alcalapartamentos.com,****,Bs. 470,Bs. 540,Bs. 620,,2,3,,gustavo.nao,2019-06-19T18:47:12.590Z,,
Feature,hospedajes.30,Point,-68.12701501,-16.50576477,geom,Camino Real,Sopocachi,c. Capitán Ravelo Nº 2123,2441515,,,info@caminorealaparthotel-spa.com,http://www.caminorealaparthotel-spa.com,*****,Bs. 950,Bs. 1125,,,2,1,,gustavo.nao,2019-06-19T18:48:49.260Z,,
Feature,hospedajes.31,Point,-68.08279784,-16.53850454,geom,Casa Grande,Calacoto,Av. Ballivián esq. c. 17 Nº 1000,2795511,,,info@casa-grande.com.bo,http://www.casa-grande.com.bo,*****,$200,$ 260,,,2,18,,gustavo.nao,2019-06-19T18:50:02.643Z,,
Feature,hospedajes.32,Point,-68.08129547,-16.54288839,geom,Los Delfines,Calacoto,c.17 esq. Claudio Aliaga,,,,reservas@losdelfines.com.bo,http://www.losdelfines.com.bo,*****,$80,$93,$107,,2,18,,gustavo.nao,2019-06-19T18:51:34.067Z,,
Feature,hospedajes.33,Point,-68.09123019,-16.54510457,geom,Los Sauces,Calacoto,Av. Arequipa 8283,2772900,72035558,,info@sauces.com.bo,http://www.sauces.com.bo,****,Bs. 620,Bs. 680,,,2,18,,jeanine.blanco,2019-11-25T18:07:24.020Z,,
Feature,hospedajes.34,Point,-68.12481906,-16.50933121,geom,Ritz,Sopocachi,Plaza Isabel La Católica Nº 2478,2433131,,,gcomercial@ritzbolivia.com,http://www.ritzbolivia.com,*****,$ 99,$ 112,$ 142,,2,1,,gustavo.nao,2019-06-19T18:53:42.853Z,,
Feature,hospedajes.35,Point,-68.1264471,-16.51302242,geom,Monticúlo Apart Hotel,Sopocachi,c. Macario Pinilla Nº 580,,,,"monticulo-aparthotel@hotmail.com,",http://www.monticulo-aparthotel.boliviafull.com,***,$40,$69,$98,pagina,2,3,,gustavo.nao,2019-06-19T18:54:14.977Z,,
Feature,hospedajes.36,Point,-68.08949088,-16.54098948,geom,Suites Cámino Real,Calacoto,"Av. Ballivián Nº 369, esq. c. 10",2792323,,,suites@caminoreal.com.bo,http://www.caminoreal.bo,*****,Bs. 950,Bs.1125,,,2,18,,gustavo.nao,2019-06-19T18:55:05.807Z,,
Feature,hospedajes.37,Point,-68.132852,-16.49349524,geom,Victoria,Norte,"Av. Sucre Nº 1055, esq. Junin",,,,reservasvictoria@gmail.com,,***,Bs. 200,Bs. 300,,empresa,2,11,,gustavo.nao,2019-06-19T18:59:25.583Z,,
Feature,hospedajes.38,Point,-68.13566376,-16.50350807,geom,Los Balcones Blancos,San Pedro,c. Nicolás Acosta Nº 477,2489471,,,maktub953@hotmail.com,,,,,,,2,6,,gustavo.nao,2019-06-19T19:00:44.653Z,,
Feature,hospedajes.39,Point,-68.13846616,-16.49760195,geom,El Montañés,Rosario,c. Sagárnaga Nº 319,,73275003,,elizasbethslazar@hotmail.com,,,Bs. 90,Bs. 160,,amarillas,2,6,,gustavo.nao,2019-06-19T19:01:32.663Z,,
Feature,hospedajes.40,Point,-68.13867995,-16.49547844,geom,Alsigal,Central,c. Murillo Nº764,2369609,72501451,,alsigalhostal@gmail.com,http://www.alsigalhostal.com,,Bs. 70,Bs. 120,Bs. 180,GBT,3,1,,gustavo.nao,2019-06-19T19:03:30.950Z,,
Feature,hospedajes.41,Point,-68.13604826,-16.49821532,geom,Angelo Colonial,Central,Av. Mariscal Santa Cruz Nº 1058,2125067,,,hostalangelocolonial@yahoo.com,,,Bs. 60,Bs. 110,Bs. 130,empresa,3,6,,gustavo.nao,2019-06-19T19:06:16.810Z,,
Feature,hospedajes.42,,,,geom,,,,,,,,,,,,,,3,0,,jeanine.blanco,2019-11-25T18:20:14.390Z,,
Feature,hospedajes.43,Point,-68.1379327,-16.4987174,geom,Arcabucero Inn,Rosario,c. Viluyo Nº 307 Plaza Gastón Velazco,2313473,71968949,,arcabucero-bolivia@hotmail.com,,,Bs. 90,Bs. 150,,empresa,3,6,,gustavo.nao,2019-06-19T19:13:28.390Z,,
Feature,hospedajes.44,Point,-68.138276,-16.48946501,geom,Arcanjel,Norte,Av. Armentia s/n  Zona la Terminal,2286557,77588190,,javi.arcangel@hotmail.com,,***,"Bs. 80,50","Bs. 100,70",Bs. 130,empresa,3,11,,gustavo.nao,2019-06-19T19:14:13.910Z,,
Feature,hospedajes.45,Point,-68.13624768,-16.50162354,geom,Astoria,San Pedro,c. Almirante Grau Nº 348  esq. General Gonzales,2494456,,,,,,,,,amarillas,3,6,,gustavo.nao,2019-06-19T19:16:46.730Z,,
Feature,hospedajes.46,Point,-68.13485195,-16.49500004,geom,Austria,Centro,c. Yanacocha Nº 531,2408540,,,,,,Bs. 35,Bs. 70,Bs. 105,empresa,3,1,,gustavo.nao,2019-06-19T19:17:05.760Z,,
Feature,hospedajes.47,Point,-68.13666293,-16.49233264,geom,Bacoo,Norte,Calle Alto de la Alianza # 693,2280679,70689222,,info@bacoohostel.com,http://www.bacoohostel.com,,,,,,3,1,,gustavo.nao,2019-06-19T19:19:56.640Z,,
Feature,hospedajes.48,Point,-68.13705993,-16.49260143,geom,Bash and Crash,Central,c. Ingavi Nº681,2280934,79565356,,cocasandoval@hotmail.com,http://www.bashandcrashbackpackers.com,,,,,,3,1,,gustavo.nao,2019-06-19T19:23:21.310Z,,
Feature,hospedajes.49,Point,-68.13913078,-16.49672108,geom,Cactus,Rosario,c. Jiménez Nº 818 esq. Sagárnaga,2451421,,,,,,Bs. 40,Bs. 70,,empresa,3,1,,gustavo.nao,2019-06-19T19:26:14.053Z,,
Feature,hospedajes.50,Point,-68.13554432,-16.50189029,geom,Casa Colonial,San Pedro,c. Colombia Nº 214 Plaza Sucre,2480430,,,casacoloniasp@gmail.com,,,,,,,3,6,,gustavo.nao,2019-06-19T19:27:38.517Z,,
Feature,hospedajes.51,Point,-68.14012243,-16.49592005,geom,Copacabana,Rosario,c. Illampu Nº 734,2451626,,,combicop@ceibo.entelnet.bo,,,,,,,3,1,,gustavo.nao,2019-06-19T19:30:28.563Z,,
Feature,hospedajes.52,Point,-68.13949932,-16.49665755,geom,El lobo,Rosario,c. Illampu Nº 807,2457708,74841467,,,http://www.facebook.com/hostallobo,*,Bs. 50,,,empresa,3,1,,gustavo.nao,2019-06-19T19:37:12.443Z,,
Feature,hospedajes.53,Point,-68.14012231,-16.4957712,geom,El palacio del Inca,Rosario,c. Illampu Nº 730 entre Aroma y Santa Cruz,2452441,72599032,,palaciodelinca@hotmail.com,,,Bs. 60,Bs. 120,,empresa,3,1,,gustavo.nao,2019-06-19T19:39:59.700Z,,
Feature,hospedajes.54,Point,-68.14021293,-16.49559694,geom,Estrella Andina,Rosario,c. Illampu Nº 716 esq. Aroma,,77742096,,juapame_2000@hotmail.com,,*,,,,,3,1,,gustavo.nao,2019-06-19T19:40:16.210Z,,
Feature,hospedajes.55,Point,-68.14159755,-16.4923609,geom,Florida,Norte,c. Viacha Nº 489 esq. Muñecas,2452800,67322903,,hotelfloridap.bo@gmail.com,,**,Bs 60,Bs 80,Bs. 120,empresa,3,1,,gustavo.nao,2019-06-19T19:41:26.177Z,,
Feature,hospedajes.56,Point,-68.14372339,-16.48796354,geom,Isidoros,Norte,c. Cobija # 120,2285205,,,info@hostalisidoro.com,http://www.hostalisidoros.com,,,,,,3,11,,gustavo.nao,2019-06-19T19:46:29.890Z,,
Feature,hospedajes.57,Point,-68.13890923,-16.49542489,geom,Jacha Inti,Rosario,c.  Murillo Nº 760 entre Santa Cruz  y Graneros,2316906,,,,,,"Bs 25, 35",Bs. 70,Bs. 105,empresa,3,1,,gustavo.nao,2019-06-19T19:47:28.717Z,,
Feature,hospedajes.58,Point,-68.13328288,-16.50205951,geom,La Estancia,San Pedro,c. México Nº 1559,2310336,76234004,,facebook hotel estancia,,,Bs. 125,Bs. 190,Bs. 240,empresa,3,6,,gustavo.nao,2019-06-19T19:47:46.620Z,,
Feature,hospedajes.59,Point,-68.13744742,-16.49907609,geom,Lion Palace,Rosario,c. Linares Nº1017,2900454,70160285,,info@lionpalacehostel.com,http://www.lionpalacehostel.com,,,,,GBT,3,6,,gustavo.nao,2019-06-19T19:54:19.910Z,,
Feature,hospedajes.60,Point,-68.13209737,-16.49765791,geom,Loki,Central,c. Loayza Nº 420,2119024,73729477,,recepcionlokilp@gmail.com,http://www.lokihostel.com,,,Bs. 140,Bs. 195,empresa,3,1,,gustavo.nao,2019-06-19T19:54:36.113Z,,
Feature,hospedajes.61,Point,-68.13866906,-16.49778682,geom,Maya Inn,Rosario,c. Sagárnaga Nº 339 a dos cuadras de San Francisco,,70631262,,mayahost_in@hotmail.com,http://www.hostalmaya.com,,,,,GBT,3,6,,gustavo.nao,2019-06-19T19:55:14.617Z,,
Feature,hospedajes.62,Point,-68.13957764,-16.49654596,geom,Muzungu,Rosario,c. Illampu esq. Santa Cruz Nº 441,2451640,,,info@muzunguhostel.com,http://www.muzunguhostel.com,,"Bs. 55,50","Bs. 110,100","Bs. 165,150",empresa,3,1,,gustavo.nao,2019-06-19T20:00:37.447Z,,
Feature,hospedajes.63,Point,-68.13724454,-16.49688683,geom,Naira,Rosario,c. Sagárnaga Nº 161,,,,info@hostalnaira.com,http://www.hostalnaira.com,***,$34,$49,$70,,3,6,,gustavo.nao,2019-06-19T20:01:48.383Z,,
Feature,hospedajes.64,Point,-68.13482298,-16.50175225,geom,Onkel Inn,San Pedro,c. Colombia Nº 257,2490456,,,onkelinn@gmail.com,http://www.onkelinn.com,,Bs. 200,Bs. 270,Bs. 340,,3,6,,gustavo.nao,2019-06-19T20:02:10.483Z,,
Feature,hospedajes.65,Point,-68.12451236,-16.5097342,geom,Paris,Sopocachi,Plaza Isabel la Católica Nº 2508,2433233,72258723,,hostalparis.lapaz@gmail.com,,***,Bs. 200,Bs. 270,,,3,1,,gustavo.nao,2019-06-19T20:02:35.853Z,,
Feature,hospedajes.66,Point,-68.13838655,-16.49134712,geom,Pirwa,Norte,Av. Montes Nº 641,2458748,,,manaferpirwalapaz@gmail.com,http://www.pirwahostelscusco.com,,,,,,3,1,,gustavo.nao,2019-06-19T20:04:32.300Z,,
Feature,hospedajes.67,Point,-68.13797975,-16.49766695,geom,Posada de la Abuela Obdulia,Rosario,c. Linares Nº 947,2332285,71271374,,mail@hostalabuelalaposada.com,http://www.hostalabuelaposada.com,,$30,$40,$50,empresa,3,6,,gustavo.nao,2019-06-19T20:05:21.623Z,,
Feature,hospedajes.68,Point,-68.13695813,-16.49847549,geom,Provenzal,Norte,Calle Murillo # 1014,2310479,71547497,,reservas@provenzal.com,http://www.hostalprovenzal.com,,,,,,3,6,,gustavo.nao,2019-06-19T20:09:41.440Z,,
Feature,hospedajes.69,Point,-68.13109604,-16.49745208,geom,República,Central,c. Comercio Nº 1455 esq. Bueno,2202742,2203448,,marynela@ceibo.entenet.bo,http://www.hostalrepublica.com,***,$26,$38,$45,pagina,3,1,,gustavo.nao,2019-06-19T20:10:37.680Z,,
Feature,hospedajes.70,Point,-68.14032607,-16.49545472,geom,Rosario,Rosario,c. Illampu Nº 704,2451684,,,reservas@hotelrosario.com,http://www.hotelrosario.com,****,$74,$79,,pagina,3,1,,gustavo.nao,2019-06-19T20:20:14.267Z,,
Feature,hospedajes.71,Point,-68.09391518,-16.54017857,geom,Sur,Obrajes,Av. Mecapaca Nº 7398,2788296,77239677,,,http://www.facebook.com/hostal.sur.5.,,"Bs. 110,170","Bs. 180, 210",Bs. 300,empresa,3,21,,gustavo.nao,2019-06-19T20:21:46.277Z,,
Feature,hospedajes.72,Point,-68.13969434,-16.48867637,geom,Tambo de Oro,Norte,Av. Armentia Nº 367,,,,hostal-tambodeoro@hotmail.com,,***,,,,amarillas,3,11,,gustavo.nao,2019-06-19T20:22:50.997Z,,
Feature,hospedajes.73,Point,-68.14059239,-16.49037428,geom,The Adventure Brew Hostel,Norte,Av. Montes Nº 503,2915896,,,adventurehostel@hotmail.com,http://www.theadventurebrewhostel.com,,,Bs. 160,Bs. 210,pagina,3,11,,gustavo.nao,2019-06-19T20:25:27.877Z,,
Feature,hospedajes.74,Point,-68.14238036,-16.49290885,geom,Tiahuanacu,Norte,Av. Las Muñecas Nº 364,2461230,,,marcy_uni@yahoo.de,,,,,,amarillas,3,1,,gustavo.nao,2019-06-19T20:29:27.137Z,,
Feature,hospedajes.75,Point,-68.12687645,-16.4967698,geom,Topaz,Miraflores,Av. Saavedra Nº 1109 entre Yungas y Plaza Uyuni,2223082,77528988,,hostaltopaz@hotmail.com,http://elhostaltopaz.webs.tl,,,,,empresa,3,2,,gustavo.nao,2019-06-19T20:29:53.417Z,,
Feature,hospedajes.76,Point,-68.13118173,-16.49771722,geom,Wild Rover Hostel,Central,c. Comercio N°1476,2116903,76769853,,lapaz@wildroverhostels.com,http://www.wilroverhostels.com,,,Bs. 160,,empresa,3,1,,gustavo.nao,2019-06-19T20:30:26.120Z,,
Feature,hospedajes.77,Point,-68.13758181,-16.49292494,geom,Aeronáutico,Norte,Av. Montes Nº 734,2681155,,,,aeronauticohotel@gmail.com,,,,,,4,1,,gustavo.nao,2019-06-19T20:34:57.340Z,,
Feature,hospedajes.78,Point,-68.13881187,-16.49754601,geom,Alem,Rosario,c. Sagárnaga Nº 334,2367400,,,jvera_2002@hotmail.com,,,Bs. 45 b/c - 100 b/p,Bs. 90 - 120 b/p,Bs. 120 b/c - 165 b/p,empresa,4,1,,gustavo.nao,2019-06-19T20:35:36.947Z,,
Feature,hospedajes.79,,,,geom,Aranjuez,La Florida,Av. Victor Paz Estensoro Nº10,,70143377,,rioselva@acelerate.com,http://www.rioselva.com.bo,*****,,,,,4,,,,,,
Feature,hospedajes.80,Point,-68.13966119,-16.49623955,geom,Berlina,Rosario,Av. Illampu Nº761,2461928,77202792,,info@hotel-berlina.com,http://www.hotel-berlina.com,***,Bs. 300,Bs. 400,Bs. 500,,4,1,,gustavo.nao,2019-06-19T20:43:54.873Z,,
Feature,hospedajes.81,Point,-68.14108575,-16.48800593,geom,Bolivian Passport,Norte,Av. Perú esq. Beni Nº 291,2282010,74001949,,info@bolivianpassporthotel.com,http://www.bolivianpassport.com,***,Bs. 140,Bs. 220,Bs. 300,empresa,4,11,,gustavo.nao,2019-06-19T20:44:13.890Z,,
Feature,hospedajes.82,Point,-68.07812865,-16.54380167,geom,Buganvillas,Calacoto,Av. Montenegro Nº918,2775530,,,info@hotelbuganvillas.com,http://www.hotelbuganvillas.com,*****,,,,,4,18,,gustavo.nao,2019-06-19T20:44:56.503Z,,
Feature,hospedajes.83,Point,-68.08588742,-16.54078528,geom,Calacoto,Calacoto,c. 13 Nº 8009,,,,info@hotelcalacoto.com,http://www.hotelcalacoto.com,***,$69,$84,$102,,4,18,,gustavo.nao,2019-06-19T20:49:50.567Z,,
Feature,hospedajes.84,Point,-68.12974661,-16.51525559,geom,Casa Fusión,Sopocachi,C. Miguel de Cervantes Nº2725,2141372,70521999,,gerencia@casafusion.com.bo,http://www.casafusion.com.bo,*****,$47,$52,,,4,3,,gustavo.nao,2019-06-19T20:55:34.770Z,,
Feature,hospedajes.85,Point,-68.08251108,-16.54033568,geom,Casa Grande,Calacoto,c.16 Nº8009,2774000,,,hotel@casa-grande.com.bo,http://www.casa-grande.com.bo,*****,$270,$290,$370,,4,18,,gustavo.nao,2019-06-19T20:55:55.630Z,,
Feature,hospedajes.86,Point,-68.12047375,-16.50448964,geom,Castellón,Miraflores,"Av. Argentina  Nº 2145, Parque Triangular",,70161260,,reservas@hotel-castellon.com,http://www.hotel-castellon.com,***,Bs. 230,Bs. 380,Bs. 580,GBT,4,2,,gustavo.nao,2019-06-19T20:57:09.450Z,,
Feature,hospedajes.87,Point,-68.12399881,-16.49379723,geom,Castilla,Miraflores,Av. Iturralde Nº 1239,2225319,,,castillahotel@gmail.com,http://www.castillahotel.com.bo,,Bs. 100,Bs. 140,Bs. 195,,4,2,,gustavo.nao,2019-06-19T20:57:35.773Z,,
Feature,hospedajes.88,Point,-68.1248941,-16.49935429,geom,Columbus Palace,Miraflores,"Av. Illimani Nº 1990, plaza Stadium",2242444,76753553,,lpcolumbus@lphoteles.com,http://www.lphoteles.com,***,,,,GBT,4,1,,gustavo.nao,2019-06-19T20:59:07.813Z,,
Feature,hospedajes.89,Point,-68.1432806,-16.49522324,geom,Comercio,Rosario,c. Tumusla  Nº  620,2346034,,,hotel_comercio@hotmail.com,,*,Bs. 45,Bs. 75,Bs. 160,empresa,4,7,,gustavo.nao,2019-06-19T20:59:44.773Z,,
Feature,hospedajes.90,Point,-68.13834352,-16.49847168,geom,Condeza,Central,Diagonal Juan XXIII  Nº 190,2340043,,,condezabol@hotmail.com,http://www.hotelcondeza.com,**,$22,$32,$45,,4,6,,gustavo.nao,2019-06-19T21:00:00.660Z,,
Feature,hospedajes.91,Point,-68.14073876,-16.49438184,geom,Continental,Rosario,c. Illampu Nº  626 Plaza Eguino,2451176,,,hotelcontinental626@hotmail.com,http://www.hotelcontinentalbolivia.com,**,"Bs. 90, 70","Bs. 140, 120","Bs. 200, 170",empresa,4,1,,gustavo.nao,2019-06-19T21:00:37.647Z,,
Feature,hospedajes.92,Point,-68.1317952,-16.50346001,geom,Copacabana,Prado,Av. 16 de Julio Nº  1802,,,,hotelcop@entelnet.bo,http://www.hotelcopacabana.web.bo,***,$44,$44,$53,,4,6,,gustavo.nao,2019-06-19T21:02:41.387Z,,
Feature,hospedajes.93,Point,-68.14065638,-16.49595725,geom,Cruz de Los Andes,Rosario,Calle Aroma Esq. Illampu # 2016,2451401,,,cruzdelosandes@hotmail.com,,,,,,,4,1,,gustavo.nao,2019-06-19T21:07:48.670Z,,
Feature,hospedajes.94,Point,-68.14022331,-16.49578785,geom,Diamante Azul,Rosario,Pasaje  Aroma  Nº 40,,,,hoteldiamanteazul@hotmail.com,,***,Bs. 150,Bs. 250,Bs. 450,empresa,4,1,,gustavo.nao,2019-06-19T21:08:08.477Z,,
Feature,hospedajes.95,,,,geom,DM Andino,Mecapaca,Av. Manuel Castillo Nº5,2749191,76760274,,reservas@dmhotelandino.com,http://www.hotelandino.com,*****,$280,$338,$474,,4,0,,jeanine.blanco,2019-11-25T19:27:46.487Z,El Hotel se encuentra en el Municipio de Mecapaca,
Feature,hospedajes.96,Point,-68.13111588,-16.50558281,geom,El Rey Palace Hotel,Sopocachi,Av. 20  de Octubre Nº 1947,2418541,,,ventas@hotelreypalace.com,http://www.hotelreypalace.com,****,Bs. 600,Bs. 700,Bs. 800,,4,3,,gustavo.nao,2019-06-19T21:20:52.740Z,,
Feature,hospedajes.97,Point,-68.13079723,-16.50269712,geom,El Consulado,Central,c. Carlos Bravo Nº 299,2117706,,,info@topas.bo,http://boutique-el-consulado.lapazhotelsweb.com/es/,,,,,,4,0,,jeanine.blanco,2019-11-25T18:56:47.767Z,,
Feature,hospedajes.98,Point,-68.13093461,-16.50467658,geom,El Dorado,Sopocachi,Av. Villazón s/n,,70642781,,eldorado@entelnet.bo,http://www.hoteleldorado.net,***,$40,$50,,GBT,4,3,,gustavo.nao,2019-06-19T21:36:33.650Z,,
Feature,hospedajes.99,Point,-68.12292621,-16.50113335,geom,Elegance,Miraflores,Av. Saavedra Nº 1845,,,,elegance_hotel@hotmail.com,http://www.elegancehotelbolivia.com.bo,***,$35,$58,,pagina,4,2,,gustavo.nao,2019-06-19T21:39:10.013Z,,
Feature,hospedajes.100,Point,-68.13622635,-16.50945197,geom,Emporio,San Pedro,Plaza El Cóndor y Av. Landaeta Nº 708,,,,fzubietm@gmail.com,http://www.emporio-hotel.com,***,Bs.415,Bs. 415,Bs. 553,,4,0,,jeanine.blanco,2019-11-25T18:58:04.267Z,,
Feature,hospedajes.102,Point,-68.13075893,-16.50252796,geom,Europa,Prado,c. Tiwanaku Nº  64,2315656,,,reservas@hoteleuropa.com.bo,http://www.hoteleuropa.com.bo,*****,$119,$175,$200,,4,1,,gustavo.nao,2019-06-19T21:47:57.710Z,,
Feature,hospedajes.103,Point,-68.13735617,-16.49698133,geom,Eva Palace,Rosario,c. Sagárnaga Nº 173,2314885,,,eva-palaceh@hotmail.com,http://www.hotelevapalace.com,***,Bs. 200,Bs. 270,Bs. 340,pagina,4,6,,gustavo.nao,2019-06-19T21:49:26.463Z,,
