gid,nombre,distrito,uv,mz,direccion,capacidad,dependencia,servicio,telefono,categoria,horario,red,point_x,point_y
8,CENTRO DE SALUD SAGRADA FAMILIA,10,126,17,"km.6 Doble vía La Guardia, Barrio Bajío Sur, Calle 24 de Junio",4,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3547686,1,24 Horas,SUR,-63.2246246789,-17.8309309225
7,CENTRO DE SALUD LOS OLIVOS,9,107,32A,B/ Bajo Olivo Av. Santos Dumont pasando el 4º anillo entre Av. 14 de Septiembre y calle Nº 2,24,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3563660,1,24 Horas,SUR,-63.1809256693,-17.8285793833
14,CENTRO DE SALUD PERPETUO SOCORRO,1,56,38,Barrio Los Milagros C/7 entre Av. Centenario y Av. Busch frente Plazuela 6 de Enero,24,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.","+591 3 3526882
",1,24 Horas,CENTRO,-63.2098567208,-17.7744236608
25,CENTRO DE SALUD  PALOS VERDE,5,194,EQ,"U.V. 194 frente al Condominio Los Cedros, entre 8vo y 9no anillo, barrio Palos Verdes",0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3226334,0,24 Horas,,-63.144564,-17.712661
26,CENTRO DE SALUD  VILLA BOLIVIA,12,171,2-3,,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3565100,0,,,-63.1686825711,-17.8444269077
4,CENTRO DE SALUD VIDA Y ESPERANZA,7, ,12,Parada Linea 4,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3625952,1,24 Horas,ESTE,-63.1028796940,-17.8149246899
23,CENTRO DE SALUD EL REMANZO,5,333,EQ,7º Anillo pasando Canal Pedro Velez Barrio 24 de Septiembre,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",,24,,,-63.1786386624,-17.7146120544
6,CENTRO DE SALUD PREVENTIVA SUD,8,160,12,"Av. Internacional y Pacífico, frente a la iglesia Virgen del Rosario",0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3620313,1,24 Horas,,-63.1229054033,-17.8304119533
9,CENTRO DE SALUD LA FORTALEZA,12,178,40,B/ La Fortaleza a 3 cuadras Av. El Palmar,4,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",,1,24 Horas,SUR,-63.1679481355,-17.8660376212
12,CENTRO DE SALUD 18 DE MARZO,7,87,EQ,Av. Cumavi entre 6 y 7 anillo,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.","+591 3 3493919
",1,24 Horas,,-63.1227004018,-17.7928202304
13,CENTRO DE SALUD SAN LUIS,1,31,EQ,,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.","+591 3 3538270
",0,24 Horas,,-63.2004585747,-17.7820122603
16,CENTRO DE SALUD MONTERO HOYOS,15,12,EQ,Localidad de  Montero Hoyos,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",3225064,1,12 Horas,NORTE,-62.8244615888,-17.6408827866
15,CENTRO DE SALUD SAN ANTONIO,6,141,24,Av. Virgen de Cotoca altura del matadero,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3491199,0,24 Horas,,-63.1216343608,-17.7758154585
18,CENTRO DE SALUD 10 DE OCTUBRE,6,144,,Av. Virgen de Luján pasando a dos cuadras del Centro Cultural,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3498786,0,,NORTE,-63.1199442805,-17.7435261475
17,CENTRO DE SALUD ELVIRA WUNDERLICH,4,27,,"Entre 2° y 3° anillo,   Av. Pilcomayo, calle Yacuiba S/N. ingresando por el Supermercado Fidalga 2 cuadras atras. Zona aeropuerto El Trompillo y Saguapac.",0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.","+591 3 3579524
",0,24 Horas,,-63.1833257002,-17.8020351574
20,CENTRO DE SALUD LAZARETO,2,21,,B/ Lazareto C/ Corumbá esq. C/ Pailón,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3461151,0,24 Horas,,-63.1595630461,-17.7835666362
